feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T39	E1	CRC	-1.86268021110008	0.0875877952649467	107	56	7.5693078184791e-40	7.5693078184791e-38
T62	E1	CRC	1.84366460380742	0.124106119801482	107	52	1.4564781375036e-27	7.28239068751798e-26
T84	E1	CRC	1.75621637907794	0.125547793806662	107	51	9.8555856416168e-26	3.28519521387227e-24
T78	E1	CRC	1.73900302628128	0.125992811363267	107	51	2.46105585690945e-25	6.15263964227362e-24
T19	E1	CRC	-1.63595394174029	0.125841668947141	107	58	1.32763389626237e-23	2.65526779252474e-22
T5	E1	CRC	1.73371482318648	0.134440727440945	107	51	2.24049091809091e-23	3.73415153015151e-22
T18	E1	CRC	1.65317067374953	0.133013459109509	107	48	2.36089295286496e-22	3.37270421837852e-21
T96	E1	CRC	1.46087714729733	0.119003369154159	107	51	5.11737308614084e-22	6.39671635767605e-21
T20	E1	CRC	-1.20756057244687	0.0988170614066054	107	56	6.79168209944617e-22	7.54631344382908e-21
T28	E1	CRC	1.18724645472722	0.100224565667524	107	57	4.56742367925284e-21	4.56742367925284e-20
T70	E1	CRC	1.502496651405	0.128472876633458	107	52	9.87116594412364e-21	8.97378722193059e-20
T32	E1	CRC	-1.55682311164037	0.136910565117522	107	58	5.19250129879315e-20	4.32708441566096e-19
T50	E1	CRC	-1.61357596635014	0.144241685121978	107	54	1.33994628102766e-19	1.03072790848282e-18
T89	E1	CRC	-1.59097921831393	0.144148073614815	107	51	2.89224332445925e-19	2.06588808889946e-18
T80	E1	CRC	-1.35566110925161	0.130488823126794	107	50	8.19664316567371e-18	5.46442877711581e-17
T100	E1	CRC	1.5136760169715	0.150107775406225	107	55	3.97092102627133e-17	2.48182564141958e-16
T11	E1	CRC	1.32909574426196	0.133778490799463	107	52	8.57539898036231e-17	5.0443523413896e-16
T48	E1	CRC	-1.32045569752685	0.136969780055559	107	52	3.9313582830538e-16	2.18408793502989e-15
T63	E1	CRC	-1.44205686787577	0.156007885054628	107	51	3.05063588372966e-15	1.60559783354193e-14
T40	E1	CRC	-1.11011229515196	0.125393629946876	107	51	2.27286172354734e-14	1.13643086177367e-13
T14	E1	CRC	1.39870336282739	0.159510522397403	107	52	3.50199703325114e-14	1.66761763488149e-13
T53	E1	CRC	-1.36912862507883	0.159891339672084	107	58	1.00403442565285e-13	4.56379284387661e-13
T82	E1	CRC	1.29839118735598	0.152784051055929	107	53	1.39667175828766e-13	6.07248590559851e-13
T55	E1	CRC	-1.35964508515028	0.161189450118841	107	54	1.92708304313749e-13	8.02951267973954e-13
T67	E1	CRC	1.1793698699007	0.145279846370137	107	49	9.64701299462203e-13	3.85880519784881e-12
T76	E1	CRC	-1.14501814635473	0.141631295716133	107	58	1.14234658362667e-12	4.39364070625641e-12
T17	E1	CRC	-1.31118471189565	0.162686101718297	107	53	1.29554716175752e-12	4.79832282132414e-12
