feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T65	E1	CRC	-1.90253676518241	0.151276018909249	55	29	1.54319081860112e-17	1.54319081860112e-15
T13	E1	CRC	-1.88735214897996	0.153017356010141	55	26	3.34423926782294e-17	1.67211963391147e-15
T91	E1	CRC	1.70041794662596	0.140189391911403	55	25	6.46682489103396e-17	2.15560829701132e-15
T60	E1	CRC	1.83937566920043	0.158708374328181	55	27	3.77339687335915e-16	9.43349218339787e-15
T22	E1	CRC	-1.54732048072144	0.141265163813578	55	26	3.16617790729895e-15	6.33235581459789e-14
T6	E1	CRC	-1.63670728017495	0.155087801846586	55	27	1.23673135163388e-14	1.76675907376269e-13
T93	E1	CRC	-1.57555924684894	0.149005478302386	55	30	1.15309834356869e-14	1.76675907376269e-13
T62	E1	CRC	-1.12208411813039	0.11431053051783	55	29	1.60360985794168e-13	2.0045123224271e-12
T17	E1	CRC	-1.66218372615151	0.180188842581502	55	25	1.3083492830358e-12	1.45224105004622e-11
T70	E1	CRC	1.53808934873298	0.167264724072349	55	28	1.45224105004622e-12	1.45224105004622e-11
T68	E1	CRC	1.57499604352213	0.173142076039777	55	27	2.07135648157809e-12	1.88305134688917e-11
T20	E1	CRC	1.64835148603961	0.187577818898773	55	30	6.31253240060076e-12	5.2604436671673e-11
T34	E1	CRC	-1.03513328633247	0.123359163012875	55	28	2.66773161220382e-11	2.05210124015678e-10
T21	E1	CRC	1.59064381768341	0.194975780829967	55	26	6.2599601466511e-11	4.47140010475079e-10
T52	E1	CRC	1.55287027469737	0.193058227013473	55	29	9.5351614109031e-11	6.3567742739354e-10
T73	E1	CRC	-1.40551929475935	0.177893787678082	55	29	1.61142559395715e-10	1.00714099622322e-09
T24	E1	CRC	-1.38265860392501	0.1793347702188	55	25	3.25823620112676e-10	1.8534403081759e-09
T39	E1	CRC	1.38420540158106	0.180352755222905	55	23	3.70688061635181e-10	1.8534403081759e-09
T40	E1	CRC	-1.20788206136277	0.1570909851778	55	26	3.51919716708268e-10	1.8534403081759e-09
T56	E1	CRC	1.54214439543839	0.200823774765989	55	26	3.65113013562226e-10	1.8534403081759e-09
T8	E1	CRC	1.50449198318107	0.200028614931795	55	27	6.53944557273622e-10	3.11402170130296e-09
T53	E1	CRC	-1.5102740389426	0.202159369272848	55	28	7.88762347894294e-10	3.58528339951952e-09
T79	E1	CRC	-1.50413950992595	0.204382498132758	55	28	1.19073183736308e-09	5.17709494505688e-09
T92	E1	CRC	1.50443749255102	0.206696714157091	55	25	1.60701851762697e-09	6.69591049011239e-09
T42	E1	CRC	1.34769619922108	0.201049190132707	55	27	1.35386757952924e-08	5.41547031811697e-08
T78	E1	CRC	1.34596388482608	0.201912826119178	55	30	1.55406666661495e-08	5.97717948698058e-08
T15	E1	CRC	1.38731000942627	0.217184892204541	55	30	4.34913200932872e-08	1.61078963308471e-07
T64	E1	CRC	-1.2611763235995	0.210334533645395	55	30	1.8369654603114e-07	6.56059092968358e-07
T75	E1	CRC	1.13844502222998	0.195427030446585	55	26	3.42782348580415e-07	1.18200809855316e-06
