feature	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	T31	T32	T33	T34	T35	T36	T37	T38	T39	T40	T41	T42	T43	T44	T45	T46	T47	T48	T49	T50	T51	T52	T53	T54	T55	T56	T57	T58	T59	T60	T61	T62	T63	T64	T65	T66	T67	T68	T69	T70	T71	T72	T73	T74	T75	T76	T77	T78	T79	T80	T81	T82	T83	T84	T85	T86	T87	T88	T89	T90	T91	T92	T93	T94	T95	T96	T97	T98	T99	T100
S1	0.000103549600655858	0	1.54481229356866e-05	0.0298075575444959	0.000333260748423756	0.0080040659831154	0.112301680489926	0.00195905664949031	0.0378847603437971	0.0197165726743829	0.0132399746075806	0.222137687319417	2.74062334606386e-06	2.86850729722074e-05	1.48953707481746e-05	0.000126423960379298	0	0.000105639453704748	0.0318827434153186	0	0.0164733715095268	0	0	0	0.0154493931831688	0.0148664278944812	0.00432932828077767	0	0.000691958949848527	0	0.0186967518090071	0.000858398944639685	0.00360715825215932	0	0.00760777939529904	0	0.000102447912228304	3.81904681710961e-05	0.0131703402975654	0.0126906240050592	0.0426354774371726	0	0.0100161844030857	0.0356493188921189	0.000276305427687409	0	0	7.11191246637157e-06	0	0.0654334959239676	0	0.00024480399303287	0.0124850371797168	0	0	0	0.00697529965101039	0	0.0146126387384904	0.0185380168735007	0	0	4.67352868802744e-06	0.000138436981479363	0.000944508530314257	0	0.0128879966396173	0	0	0	0	2.00634121642049e-05	0	0	0.00125590519502361	0	0.0121410410123398	0	0.00333228484105098	0.0182268285308476	0.00550357767107142	2.67746598989383e-05	0.000893576887175513	0	0.00233133985825128	0.0124532647862855	0	0	4.13747824007497e-05	0	0	0.00622206590492755	0.00146594081237772	0.000169516064737522	0	0.00179639887560619	0	0.000179597263599002	0	0
S2	0.000600334777624602	0	2.43769584946459e-05	0.0170283663256714	0.0761561799842913	0.00572433319831911	0.0486245714195482	0.018618735619415	0.0391816212982941	0.0172992371807366	0.000253994735207406	0	0.0149842399676035	0.00013668623290422	0	6.56664059868279e-05	4.13323619325482e-06	0	0.134704343090098	0.0168149934191326	0.027579628601042	0.00849750232782935	3.69468361658091e-05	0	0.0151935422758455	0.00036294767988328	0.000531313768688062	0.0157814131191753	0.0100141209671554	0.0287738791210247	0	0.00566877491756555	0.0982723290860198	9.02502381893655e-06	0.0153902951276281	0	0	0	0.0399480746345365	0.0220106142174433	0	0	0.0251514460116142	0	0	0	0	0.00112654705750085	0	0.00146875576762888	0	0	0.0135997791364048	0	0	0	0.0155722064418799	9.2368397882313e-05	0	0.0420983354506517	0.00711475716760588	0.0128622500696566	0	0	0.00111409288774853	0	0.0155737026028714	0	0.00169602188842298	0	0	0.000513128572203833	0	0	0.00045217979212519	0	0.00931715255318722	9.397518821476e-06	0.0023603546970069	0.00124068419431746	0.000127864301907886	0	0.000774834666993236	0	0	0.00842601132276958	0	0	9.08621852243822e-05	0	1.94133593305409e-05	0.000347732444273349	0.000228093653581168	6.1483313583764e-05	0.000666765431565898	0.00478064724881525	0.000244552536045134	0	0	0.000481357775037732
S3	8.04986294713075e-05	0	0.122853171194403	0.0180293934021663	0.0857491302062925	0.136631021054009	0.0851556274417256	0.0473686655465882	0.0780526489774964	0.0282468051619849	0.0138618914882928	0.000423650036237405	0.0376351483331091	0.000116497622563071	0	9.0707131480339e-05	0.00429087202183451	0	0	0	0.0163709179003168	0	0	0	0.0304312962504627	0.00256388477182766	0.00707825245449284	0	0.0186665412177667	0	0	0.00355434536455195	0.0152092472798126	0	0.0145251559134675	0.0110144521823204	0	0.00122409631520708	0.00109456759152433	0.0232645126665498	0	7.89973963638567e-05	0.00387019007758232	0	0.0134754144568036	5.2824657223338e-05	0	0	0	0.00186350286165753	2.35079798644479e-05	0	0.0136021202295815	0.000167886689623127	0	0	0.00743863347897564	0	0	0.0235409998910618	0.00703703546243437	0.00957171066147296	0	0	0.0151809195776068	0	2.12930624791902e-05	0	0	0	0	0	0.00032071995039422	0	9.85897201732752e-06	0.000391468915229638	0.00920154370672198	0.0136198955261865	0.00129536478691471	0.000748176733987459	0	0	0.0151136874761741	0	0	0.00690868914035698	0	0.00420148771303424	0.00181366386985938	0	0	0	0.00045360830319615	6.88067828443199e-05	0.000747969902013965	0.000609001649648873	0.000223983808907405	9.508865195914e-05	1.88485679049261e-05	0.000988423599428417
S4	0.00057353870817849	0	0.00217408095534413	0.0409788094310737	0.000351599298776985	0.03595895173029	0.296059035985212	0.0575396861817652	0.0512342426928738	0.0479343626239976	0.00790072698851999	0.00274625994707408	0.00484220154140882	3.56693554693785e-05	0	0	0.000277322611172172	0.000147006183054377	0.0018097751121981	0	0.0503479624816575	0.000421752352295708	0	0	0.0631305832170067	0.00122048936838505	0	0	0.005262098193785	0.000318763350688448	0	0.012735869264084	0.000461873668218453	0.000135997155457633	0.0191363923975573	0.0116832701998758	0	0	0.000355106758581572	0.039702561735007	0	0	0.0185740969040018	0	0	9.08520478801769e-05	0	0	0	0.00394987218895632	0	0	0.0225667321013256	0	0	0.00632686608835764	0.0136818152285324	0	0.0233648888917145	0.0181467163326568	4.36964338636791e-05	2.27174767004477e-05	0.00310018553432064	0	0.0001482878599764	0.000463155981294201	0.0503741449464747	0	0	0	0	0.000228457247677959	0	0	0	0.00787297013104513	0.00124963139544238	0	0.0011744021087004	0.00546941334483692	0.000877212896693111	0.000583815898616878	0.000678580092163836	0	0	0.0124264611013547	0	0	0.000359127524663159	0	0	0.000202693205945182	0.000460286731858106	0	0	0.0273246022407701	0.00530102122489014	0	0	2.32983262986333e-05
S5	0.00338865273161865	0.0001556199617622	0	0	4.87265180080442e-05	0.000153613437325824	0.00863180692780231	0.241639306713779	0.0295400409072751	1.64819136120159e-05	0.00926494014150302	7.09369397975954e-06	0	0.0224901115373758	0	0.238068721232448	0.000694562000005051	0	0.00180318996373488	0	0.115880059842058	0.000425119866848994	0	0	0.0112597397467971	0.000228585531325455	0	0.000379264743161486	0	0	0	0	0.00277594801426439	0.00772122914448017	0	0	0.000534102917567379	0	0.0021108834988307	0	0	0.000100205547681541	0	0	0	0.0011107722593507	0	0.000658865553457924	0	0.00413675506790066	0	0.000507680770067713	0.0979093684315404	0.00106251737724909	0	0	0.051217337169657	0	0.00314373635236268	0	0	0	0	0	0.0100820751598976	0.000639512252334251	0	9.14987331947518e-06	0	0	0	0.000433665649448809	0	0	0.000806557853369447	0	2.03945118124007e-05	0	0	0.00134995804273946	0	0.0010986099717513	0.000844713211197347	0	0	0	0	0	0.000968375882202166	0	0	0	4.43289344605528e-05	0	0.000545874323645428	0	0.0682098366550368	0	0	0
S6	0.00920557351616639	0.000266198860616424	0.000111582273876345	0.0843884073624735	0.000145118176137901	0.0559633620222104	0.0368276897946744	0.000138030437846023	0.00626459703582302	0.00360641918249935	0.00122764424762821	0	0	0.00399453662440144	0	0.014220697090414	0.00145644427672332	0	8.08258464212605e-05	0	0.116645314014623	0	0.00347615639410705	0	0.0364752963804072	0	0	0	0.000207431850752209	2.96991627557208e-05	0	0	0.0290404958446006	0.000155597003540523	0.0183899420766326	0.00938492114195216	0	0.347475410724518	0	0.00130070905987717	6.1786638455723e-05	0	0.0553103995147913	0	0	0.00186671061870387	0.00167809446253631	1.60493288081576e-05	0.0113752882063105	0.00064121892538557	0	0	0.000143092045895128	0.00566730301718084	0	0	0.0156316334840471	7.8870521679429e-05	0	0.0149472258771256	0	0	0	0	0.00627861097501515	0	0	0	0	0	0.000136797072415465	0.000249197799567947	0	0	0	0	0.000162423219148017	0	0.0102083103038927	0.000472664694676668	0.000109826243162014	0	4.93688406895415e-05	0	0	0.0118854707179554	0.00201993397162568	0	0	0	0.00962320786941273	0	0	0	0	3.1627933034875e-05	0	0	0	0.000177486659470687
S7	0.259504315172921	0	0.000294205082340813	0.0358143410644689	0.005517267776959	0.0484793431383242	0.00233634597803477	0.248655577811401	0.024579050170946	0.00358337870022423	0.000161013101885045	0.00676412797761756	3.51978003967397e-06	5.54113437716653e-05	0	0.182628212071876	0	0	0.0011436035974874	0.00021307421494185	0.0369954119109689	0.0134307992232761	0	0.000269022336208551	0.0185871556592345	0.000361000934782044	0.000380036514879229	2.2298571694038e-05	0.00245659085919926	0.000395180710134208	0	3.88306558921796e-05	0.00259943468947059	0	0.0016037073436288	0	0	0	0.000320834797167136	0	0.000328316066100048	0	0.0194008585303113	0	0	0.0216354795865835	0.000186497232277496	4.07892992352223e-05	0.000553806978072318	0.000705497603577759	6.68076742693798e-06	0.0143179367245354	0.000293764516886278	0.00317010781372255	0	0	0.00053118611649475	6.44680789027253e-06	0	5.55631284373384e-05	1.72805774085948e-05	1.67279580143479e-06	3.01792503059978e-05	3.19136397533661e-05	0.000111838272039854	0	0	4.07996495378771e-05	0	0	0	0.00226365935435178	7.09102698121399e-06	0	1.06332145984411e-05	8.83014169042907e-05	0.000338604534275572	0	2.17676511194515e-05	0.0016281151813676	7.93182180067401e-05	4.20907193992298e-05	8.07730162926098e-05	9.57265507491889e-06	0	0.00635607600701728	0	0	5.22162973292287e-05	0.00524892351410849	0	0	0.00897622890746552	0	0.000116940589138103	2.78171833939386e-05	8.44722862808366e-05	0	6.23502469116302e-05	0
S8	9.15794389977528e-05	7.0839289003374e-05	0	0.0292102435485345	0.133855154489556	5.61780337225649e-05	0.225713666477461	6.86626903129393e-05	0.120550849885096	1.25351091632465e-05	0.00684900174739134	0	0.021837718676618	0	0	0	0	0	0.00261575218678212	0.0164623534958668	0.0203121476314806	0.000360824774716414	0	3.56896531843806e-05	0.00705148892910269	6.13949556975886e-05	0	0.00295889199408097	0	0	0.00837514924692033	0	0.000488694432230963	0	0.0399541804550075	0	0	0	0.000537999225573476	0.00263720720558262	0.0316988359866136	0	0.0411970653116044	0.00312257666175826	0	3.95487120354527e-05	0	0.000456203396000599	0	0.00150566745059587	0	0.00137001828688098	0.00581828431163583	0	0	0	0.0294395613599241	0	0.101839462281579	0.0584062147174571	0.00482650171072245	5.05713218937109e-05	0	0.00241561738972371	0.00335926872729418	0.00130825729215926	1.349615422065e-05	0	0	0	0	0	0	0	0	1.04488053884487e-05	0.00144844640040681	0.00280918540109886	0.000249586624673698	0.00115892070987767	0	0.00161384764378043	0.00501931019735885	0	0	0.0105737958892879	0	0	0.000500591528050559	0	0	0	0.000305343158893066	0	0	0.00316977941126923	0	0	0.00186705430011431	0.000196230510963954
S9	0.00358917624425872	0.0140627992008038	1.21122149911755e-05	0.0038909845758704	0.00645803119825196	0.0129879392206523	0.0808321085445914	0.000766899948364574	0.0766282068367856	0.000145058002087539	0.0179971826217232	5.33813259819385e-05	0.156763755289306	0	0.214934156489293	0	0	0.000218667343754414	0.066964741613347	0	0.0130696292736662	1.98307084536607e-05	0	6.6112665151715e-05	0.00579663978805218	0.000698789753107988	0	0	0.00412858209589253	0.00768329982694491	0	0.00218249751453423	0	0.000167650873942859	0.0164961685398468	0	8.93056293498178e-05	0	0.00336695952819083	1.35584686000725e-05	0.0365411931108786	0	0.0362383965967736	0	0.000813223791542699	0.000196399062085444	0.000279215646537629	0	0	0.000513194542689699	0	0.00231601800433322	0.00240091939624168	0	0	0.00712185608309562	0.00191413952796719	0	0.0058403617120908	0.0263431847918018	0.00134818539758258	0.000500823914976752	0	0.106100586406125	3.86142192023929e-05	0	0	0.000297188536931393	0	0	0	0	0	0	0.000139812639677571	0	0.000339806432086524	0	0.000123859525067767	7.90378599905893e-05	0	0.00705767846450274	0.000321933209501316	0.000116202361377462	0	0.00155709435124569	0	0	0.00164203692318592	0	0	0	0.000223137937189807	0	0.000339081394561347	0.0219912840071787	0.000152140461320568	0	0	0.000344566542347785
S10	0.0974545836335053	0	3.70507517540069e-05	0.0176873576409388	0.0740745699138298	0.154427369684086	0.123091061127409	6.39870196024271e-05	0.0475751539694461	0.0160125992016754	0.0024791498225761	0.00890761166691772	0.00182060010913897	0	0	0	0.00147900592068198	0	0.0145904629374462	0.00509190217979542	0.00844501098871999	0.000396778203964701	0	0.235323524200946	0.0055580275379232	0	0.000251519055940716	0	0.00608829543768048	0	0.022058175548671	0.00913125468369706	0.00193734572604708	0.00658686727591206	0.00163018524536792	8.31594231962905e-05	0	0	0.0046981780746637	0.000577976586415074	0	0	0.0082421849007557	0	0	0.018408297441027	0	0.000598904725974626	0	0.000929549142148867	0	0.00411647658656046	0.0108401390882261	0	0.000158270981095927	0	0.00332798973843757	0	0	0.0169711557378422	0.00116582947872756	0.00157972085823826	0	0	0.00668592100099964	0	0.00433574841547809	0	0	0	0	0	0	0	0	0.0177127032271419	0.000339591927577603	0	0	0.000477021028907823	0	0	0.000204711470125202	0	0	0.00206755283522516	0	0	9.77365826323292e-05	0	0.000217060492711158	0	0.0001912081837773	0.00719807405310108	0	0.00179294017268269	0	0	0	6.93533052760803e-05
