feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T60	E1	CRC	-0.00742381338158781	0.00244110536885217	107	99	0.00297618230637887	0.148809115318944
T68	E1	CRC	0.00105323435760789	0.000342398853591469	107	40	0.00267481762256701	0.148809115318944
T4	E1	CRC	-0.0329772383044139	0.0127091570739825	107	102	0.010818460058144	0.221316968036041
T74	E1	CRC	0.00177173196147753	0.000684999591163083	107	22	0.0110658484018021	0.221316968036041
T93	E1	CRC	0.00197216240873821	0.000756130278517111	107	92	0.0104271623340261	0.221316968036041
T2	E1	CRC	0.0376365040154143	0.0166939192211224	107	52	0.0262403721513031	0.282601183815055
T6	E1	CRC	-0.0298109676295364	0.0130892775848561	107	106	0.0247821227231401	0.282601183815055
T17	E1	CRC	0.0074317083313409	0.0033386014741145	107	68	0.0281513397528689	0.282601183815055
T18	E1	CRC	0.00502702854541082	0.00231974033458311	107	51	0.0324903073712647	0.282601183815055
T34	E1	CRC	0.00589782913825397	0.00261807914903625	107	69	0.0263557705136605	0.282601183815055
T89	E1	CRC	0.00250399130964407	0.00114589920684712	107	96	0.0310987669072287	0.282601183815055
T99	E1	CRC	0.00239474805890781	0.00111422837188248	107	37	0.0339121420578066	0.282601183815055
T7	E1	CRC	-0.0211275059520819	0.011209002920056	107	107	0.0622124728320622	0.30163363276136
T14	E1	CRC	-0.0022296974466953	0.00120637730150878	107	63	0.0673791235875581	0.30163363276136
T20	E1	CRC	0.0170261547203442	0.0090763953312382	107	60	0.0634503983210772	0.30163363276136
T21	E1	CRC	-0.00881513365387865	0.00490885156162701	107	100	0.0754084081903399	0.30163363276136
T26	E1	CRC	0.0081711457402597	0.00417435952396676	107	96	0.0529475964952398	0.30163363276136
T33	E1	CRC	-0.00463261690077083	0.00251361044296463	107	94	0.06814797043897	0.30163363276136
T38	E1	CRC	-0.0237098616937657	0.0116635530581277	107	46	0.0445945496039002	0.30163363276136
T48	E1	CRC	0.00475432519632309	0.00251690747733376	107	79	0.0616570579811802	0.30163363276136
T57	E1	CRC	-0.00644851069699653	0.00321300384246693	107	107	0.0473191793718775	0.30163363276136
T69	E1	CRC	0.000893157895662618	0.000483239937354798	107	34	0.0673774827455483	0.30163363276136
T82	E1	CRC	0.00178388056251183	0.000976982654654558	107	35	0.0707059781221233	0.30163363276136
T92	E1	CRC	0.000961283766147428	0.000535138538982973	107	28	0.0753181081926659	0.30163363276136
