feature	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	T31	T32	T33	T34	T35	T36	T37	T38	T39	T40	T41	T42	T43	T44	T45	T46	T48	T49	T50	T51	T52	T53	T54	T55	T57	T58	T59	T60	T61	T62	T63	T64	T65	T66	T67	T68	T69	T70	T71	T72	T73	T74	T75	T76	T77	T78	T79	T80	T81	T82	T83	T85	T86	T87	T88	T89	T90	T91	T92	T93	T94	T95	T96	T97	T98	T99	T100
S1	0.00541666476143169	0	0.015638961705883	0.075334703298398	0.100459866495768	0.156879736197064	0.0365274096644122	1.68001509330916e-06	0.15616317162315	0	0.00116609930206487	0	0	0	0	0	0	0	0.0173669959372164	0.00046732536575585	0.0323880367765248	0	0	0.000224335220418595	0.0868923419411879	0	0	0	0.000835303145029145	0	0	0.0176853103017306	0	7.24721843310162e-05	0.0308361754795396	0	0	0	0	0	0.0335890483237497	0	0.0152819106241686	0	0	0.00337315087843321	0	0	0.0615883823304329	0	0	0	0	0	0.0153376577764813	0	0	0.0189400294568274	0	0	0	0	0.00774109956720867	0	0	0	0	0	0	0.000337004808244839	0	0	0	0	0.00683865702368232	0	0.000258125557807172	0.0215648021783099	0	0	0.0153952626331557	0	0.00674774064641079	0	0.00746913658070931	3.75112827764351e-05	0	0	0	0.000228929190254164	0	0.0149634035610863	0.00330202281535694	0.000440768473626817	0	9.34881166309416e-05	0.0037594922817861
S2	0.000270544601721622	0.000152337025693036	0.0410262928193687	0.0401223037848054	1.6460093170167e-05	0.00934276507959454	0.0381684808206687	0	0.169494651760266	0	0.00153509453291036	0.00428930308379337	0.00638077786642937	0	0	0	0	0	0.0203381226125349	0.0224880936732912	0.0097743425734461	0.0158221526997146	0	0	0.0674894693565975	0.00428112019744925	0.000748569770987999	0.00200796214419141	0.00526718948698074	0.000884579221356248	0	0.0274268306912368	0	0.141507785518498	0.0997583153383355	0	0.000675494590613009	0	0.00080426637442075	0.0005027315636922	0.00846151428321102	0	0.0139979923132868	0	0	0.000389099387692919	0	0	0.0155973882204121	0	0	0.00327326087904947	0	0	0.0218105938709323	0	0	0.0188537873406176	0.00289974134368255	0.0155351710160799	0	0	0.000259950081862683	0.000181067840604476	3.34005840082705e-05	0	0	0	0	0.000269277523098632	0	0.000220253357452286	0	0	0.000148701020808366	0	0.0027509706789714	0.00128101422122943	0.000197407987379733	0	0.0199191028555783	0.0202133535583093	0.0163731178354701	0	0	0.00110221409321569	0	0	0	0	0	0	0.00451933704148613	0	0	0.00561454538379334	0
S3	0	0	0.0037792463776435	0.0287214075803619	0.076688890900548	0.0353918344465973	0.0400391440499957	0	0.311196510268553	0.0349544334660651	0	0	0.00599017189156789	0	0	0	0	0	0.0020889527741056	0	0.102971167212203	0.000416590082081467	0	0	0.0159339318504714	0	0.00589482942573466	0.00141330501448284	0	0	0.0223700698549766	0.00218660766639653	0.000747975919724966	0	0.016720544037933	0	0	0	0.000274964663035769	0.0251875867204103	0.00129039206004626	0	0.0267533923298335	0	0	0.000411627370001144	0	0.00584163160538177	0.00338884058804715	0	0	0.0151480888815157	0	0	0.00748426419680984	0	0	0.0194314335739426	0	0.0221916817492337	0	0	0.0232188038526951	0	0	0	0	0	0	0.000484073695558158	0	0	0	0	0.00174978915673816	0	6.02220312680143e-05	0.000772848909689148	0	0	0.000467357688129799	0.0100179244708841	0.0311152189857048	0	0	0	0	0.00441738095217137	0	0	0.000102069558151355	0	0.000420999784125165	0.000350200258735508	0	0	0.00038972155561058
S4	0.00515632584150111	0	0	0.257681625599554	0	0.114156781244178	0.206524633103918	0	0.0571125651820224	0	0	0	0	5.34959936441302e-05	0	0.00326935132530367	0	0.0015296755470832	0.00272902422044162	0	0	0	0	0	0.0108778378744613	0.00380254882980195	0	0	0	0	0	0	0.00355388335046251	0	0.0486504473802685	0.0241044052929265	0	0	0	0.0681881145576283	0	0	0	0	0	0	0	0	0	0	0	0.0744123959819625	0	0	0.0358882223472619	0	0	0	0	0	0	0	0.0078877825966763	0	0	0	0	0	0	0.0124030174657151	0	8.98864176067039e-05	0	0	0.0199810823197144	0	0	0	0	0	0.00045349136325208	0	0	0	0	0.000962557338995605	6.47932792768652e-05	0	0	0	0	0	0	0	0	0	0.000815231403231258
S5	0.00241705750080501	0	0	0.0997142577668327	0	0.278484784196957	0.111755897336045	0	0.0689255380255306	0	0.0732674792777334	0.00190620394080424	0	0	0	0.031999693929326	0.0206918437628763	0	0.0107511960674309	0	0.0129015616301847	0	0	0	0.0177401602995889	0.0193988503368545	0.000115748901633209	0.0017651839826601	0	0.033491966650225	0	0	0.00499036465143676	0	0.0032115742628703	0	0	0	0.00898830416880176	0.0018232261678465	0	0	0	0	0	0.00136202291864281	0.00647568290828447	0	0.00104997099085442	0	0	0	0	0	0.0108462031425231	0	0	0.0305143169614517	0	0.00959177750285306	0	0	0.0136895438700424	0.00244524373870997	0	0	0	0	0	0.00114128194738877	0	0	0	0	0.000106646925412275	0.00101589435160301	0.0514148811794923	0.00150697861884965	0	0	0.00302326582562943	0.00534962073937625	0.00402618379811879	0	0	0.00180606642788108	0	0	0	0	0	0	0	0	0	0	0.000307525296443343
S6	0.000111480764115966	0	0.00183337193353921	0.270067618486354	0.00257137674354635	0	0.307384705737811	0	0.0415218527821224	0.0459196322633972	0	0	0.001644802990133	0.00154051117626724	0	0.00394208688544564	0	0	0.00085210242340813	0.000607232573206448	0.0837954975667345	8.84714341812526e-05	0	0	0.00401250609935422	0	0	0	0	0	0	0.0162376448907798	0.00388402488620506	0	0.0539308584347567	0.05280591289055	0	0	0	0.000438342682853316	0	0	0	0	0	0.000546916932508146	0	0	0.0141302376318192	0	0	0.000357998506342307	0	0	0.0327680336562181	0	0.000849020922192432	0	0.000382135356608244	0.000105230042614828	0	0	0.00120793677653673	0	0.000840904462075734	0	0	0	0	0.000322430634525017	0	0	0	0.000349982607088748	0.0105857735040962	0	0	0.00351380995255262	0	0.000930589167125865	0.000296154557792778	0.000343091060228034	0.0215204109218865	0	0	0	0	0	0	0	0	0	0	0	0	0.000226312814801433	0.00237959987890464
S7	0.00373505536466328	0	0.487779155249041	0	0.0707061917847316	0	0.00908094403597686	0	0.306337278501801	0	0.00134477043427666	0.00103143127397558	0.000617246398218631	0	0	0	0	0.000665143136625411	0.0117330040823631	0.0254495273821542	0.00479150829664113	0.00666377679170928	0	0	0.00868329269774474	0.000412409679660887	0.00279996749598513	0	0	0.000100070310761427	0	0.00048670058039843	0	0	0.000793976117792008	0	0.00562933199072804	0	8.00867312644896e-05	0	0.000832189891306275	0	0.000113185763959275	0	0	0	0.000909199257494394	0.00224294657564514	0.00119938138798584	0	0.00301963230076018	0	0	0	0.00376932143030203	0	0	0.000125558007511241	0.00018556507683321	0	0	0	0	0	0	0	0	0.00148308587590117	0	0	0	0	0	0	0.000738853077523462	0	0.00544125932569591	0	0	0	0	0.00441980526772121	0.00465905236629011	0	0	0.00145204364530441	0	0	0	0	0	0	0.000393236174594393	0	0	0.00908541623865916	0
S8	0.0439372450401392	0	0.000379980923658659	0.155734724497637	0	0.0458952030334208	0.287448944421028	0	0.024248886234693	0.0194750275013935	0	0.000480502067822841	0	0	0	0.000121498191883452	0	0.000989022564000823	0.00567545637431247	0	0.0438002199514079	0	0	0.00179826482641874	0.00698430662385773	0	0	0	0.000105572766444601	0	0	5.64976410067905e-05	0.0154009858916716	0	0.00311047272249972	0.00296769876196661	0	0	0	0.00236618780751798	0	0.000864928091027025	0.00928338014006921	0	0	0.00932231587199422	0	0.000809254225393431	0.0339771090883463	0	0	0	0	0	0.0186564169119802	0	0	0	0	0	0	0.0650062029519711	9.16161225385534e-05	0	0	0	0	0	0	0.00199677559853744	0	0	0	0	0.00305478559933166	0	0	0.00380082526116474	0.114499883902725	0	0.0014625129224641	0	0.00873528185443835	0	0	0	0	0	0	8.04612888417938e-06	0	0	0.0109809651674209	0.000161331653223469	0.00600317569655894	0	0
S9	0	0	7.77961530156924e-05	0.165047722573263	0.0421799626956748	0.0357808516997099	0.15534973086217	0	0.0530065247711329	0.000911834442453698	0	0	0	0	0	0	0	0	0	0	0.00458942867801637	0	0	0	0.202009940903782	0	0	0	0	0	0	0	0	0	0.0630808253193296	0	0	0	0	0	0.0359772505945834	0	0.0203175536070734	0	0	0.000292988654101729	0	0	0.00893553796613579	0	0	0	0	0	0.0351282819243508	0	0	0.00568048668329642	0	0	0	0	0	0	0	0	0	0	0	0.00159956743312015	0	0	0	0	0.00140526912732487	0	0	0.000571663963677107	0	0	0.0127240485156933	0	0.0550139704351978	0	0	0	0	0	0	0	0	0	0.0114289629968967	0	0	0	0
S10	0	0	0.0243065483687834	0	0.0433631699480843	0.0437281554432418	0.0212331288595989	0	0.0310532943003203	0	0.0125508655807895	0	0.686303717309054	0	0	0	0.000301184912920832	0.022303833937132	0.00798135796189142	0	0.00123231715559343	0.00191833056682884	0	0	0.0212468855550349	0	0.00151776735171602	0	0.0060811039240776	0	0	0	0.00191190619303783	0.000302368953599567	0.00180429989991441	0	0	0	0.000565373854997313	0	0	0	0.00207054607166994	0	0	0	0.000310276945739028	0	6.67808505187563e-05	0	0	0	0	0	0.00779710897027825	0	0.00500893183697443	0.00234705804516656	0.00577394653256635	0.00468312447719775	0	0	9.78980064516474e-05	0.000390229419626046	0	0	0	0	0	0	0	0	0.000107575448733761	0	0.00268881608278216	0	6.21384290706245e-05	0	0	0	0	0	0.00312156069680247	0	0	0.00330842819812047	0	0	0	0	0	0	0.000558726550225107	0	0	0	0.0162296386599786
