feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T1	E1	CRC	0.0133730988906778	0.015337143479697	55	28	0.387172994520116	0.723123617458198
T2	E1	CRC	-0.00120909660559212	0.00127124842911401	55	3	0.345866087255628	0.723123617458198
T6	E1	CRC	0.0481648107372249	0.0261778926150969	55	46	0.0713852215281008	0.723123617458198
T9	E1	CRC	-0.0367324507441355	0.0322767732360551	55	53	0.260219774122607	0.723123617458198
T12	E1	CRC	-0.0033308003002849	0.00254968874663687	55	13	0.197072564624206	0.723123617458198
T13	E1	CRC	-0.0242574827832202	0.024943654586572	55	15	0.335223897602689	0.723123617458198
T14	E1	CRC	0.0344589883031328	0.0345959940194056	55	21	0.323756697503306	0.723123617458198
T15	E1	CRC	0.000486524592942661	0.000477590705416098	55	1	0.312970293791278	0.723123617458198
T19	E1	CRC	-0.0115427224258814	0.0100774940462831	55	35	0.257190905058705	0.723123617458198
T20	E1	CRC	0.00401386718802262	0.00397590122666134	55	17	0.317298333344322	0.723123617458198
T23	E1	CRC	0.000134354428332894	0.000131887323136501	55	1	0.312970293791278	0.723123617458198
T24	E1	CRC	-0.00396089736367666	0.00267668603579876	55	13	0.144852829404017	0.723123617458198
T26	E1	CRC	0.0120843014415905	0.00909242844039434	55	23	0.189524441113137	0.723123617458198
T27	E1	CRC	0.0177461805706066	0.0164339824836259	55	18	0.285100130219376	0.723123617458198
T34	E1	CRC	-0.0115014915699407	0.00611993572597719	55	21	0.06569985063802	0.723123617458198
T36	E1	CRC	-0.00809427635860075	0.00818663242927466	55	12	0.327293300384611	0.723123617458198
T38	E1	CRC	0.00193937679544787	0.00200173936022416	55	5	0.337022777645642	0.723123617458198
T39	E1	CRC	-0.00538887922229177	0.00268137416472518	55	19	0.0495611420907757	0.723123617458198
T40	E1	CRC	-0.00449388842301078	0.00396297696264244	55	27	0.261911196019223	0.723123617458198
T42	E1	CRC	0.00175345175899228	0.00136058234566763	55	4	0.203081840271453	0.723123617458198
T44	E1	CRC	4.52901718664479e-05	3.75611299371738e-05	55	2	0.233260804109042	0.723123617458198
T45	E1	CRC	0.000259354924387571	0.000250859058549516	55	2	0.305892884498816	0.723123617458198
T46	E1	CRC	0.00599346452931239	0.00428548436742506	55	33	0.167772409628089	0.723123617458198
T51	E1	CRC	6.32292738895081e-06	7.26279241599519e-06	55	2	0.38790333447883	0.723123617458198
T52	E1	CRC	-0.000374043003319679	0.000426145256070182	55	6	0.384048705427722	0.723123617458198
T54	E1	CRC	0.0013920741494316	0.00148462145025743	55	10	0.352671209602458	0.723123617458198
T55	E1	CRC	0.00261258147217336	0.00256460751697162	55	1	0.312970293791278	0.723123617458198
T57	E1	CRC	-0.00497303640912951	0.00576708618204991	55	52	0.392400083368991	0.723123617458198
T58	E1	CRC	-0.000567640222600046	0.000563418570890393	55	3	0.318275652823685	0.723123617458198
