feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T100	E1	CRC	0.00256202470615327	0.00091367117153607	104	100	0.00604170864092651	0.598129155451725
T25	E1	CRC	0.0143312296813023	0.00571609634252517	104	103	0.0137485702306458	0.680554226416967
T1	E1	CRC	0.0381170802936125	0.017404422247542	104	90	0.0307966770960517	0.715642129946702
T10	E1	CRC	-0.0116761362660034	0.0080407743598143	104	77	0.149538516398395	0.715642129946702
T13	E1	CRC	-0.0198291665562177	0.0109807169153983	104	100	0.0738963805406355	0.715642129946702
T15	E1	CRC	-0.0178368465640971	0.0118032332201342	104	44	0.133833766464041	0.715642129946702
T17	E1	CRC	0.00860940514649036	0.0054013373344854	104	93	0.114043726403481	0.715642129946702
T22	E1	CRC	-0.0101437658534493	0.00547124657259413	104	91	0.0666266745689946	0.715642129946702
T23	E1	CRC	-0.00262839460883136	0.00180092243647299	104	7	0.147508377695049	0.715642129946702
T33	E1	CRC	-0.00305638365337421	0.0021543379614597	104	26	0.1590315844326	0.715642129946702
T34	E1	CRC	0.00932517324544918	0.0065296840877107	104	90	0.156312087594134	0.715642129946702
T41	E1	CRC	0.00495177136993074	0.00289574531967461	104	55	0.0903032005401928	0.715642129946702
T45	E1	CRC	0.00388065436528758	0.00271057021026508	104	11	0.155294093185203	0.715642129946702
T56	E1	CRC	-0.00407663896016	0.00244367301822563	104	9	0.0983347225695355	0.715642129946702
T65	E1	CRC	-0.00229736352667435	0.00150262731582758	104	88	0.129385136747316	0.715642129946702
T68	E1	CRC	0.000732176286451801	0.000427991190480326	104	22	0.0901712289923741	0.715642129946702
T72	E1	CRC	0.00121467531798948	0.000747544484589649	104	83	0.107272796413835	0.715642129946702
T74	E1	CRC	0.00672507970498217	0.00385732900754891	104	37	0.0842672916292684	0.715642129946702
T76	E1	CRC	-0.000485990443748065	0.000267073097437522	104	19	0.0717392385383559	0.715642129946702
T78	E1	CRC	-0.0076151327026275	0.00452492704539787	104	45	0.0954473787669985	0.715642129946702
T82	E1	CRC	-0.00358960322322955	0.00158380833379184	104	49	0.0255358443070138	0.715642129946702
T88	E1	CRC	0.00161334284836242	0.00086750912933341	104	56	0.065803837513089	0.715642129946702
T7	E1	CRC	-0.0185822205599084	0.0140347347870949	104	104	0.188457023742661	0.737358899908693
T19	E1	CRC	-0.00906988221135087	0.0068561828175069	104	104	0.18883462268956	0.737358899908693
T64	E1	CRC	-0.00231236648714965	0.00179707478046598	104	21	0.20109788179328	0.737358899908693
T67	E1	CRC	-0.00395679173185239	0.00295939070480371	104	73	0.184187375600543	0.737358899908693
T81	E1	CRC	0.00103696873082777	0.000792940939671899	104	39	0.193897859770192	0.737358899908693
T51	E1	CRC	0.0062937519616088	0.00506525628626661	104	56	0.216888680849628	0.740413082900455
