feature	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	T31	T32	T33	T34	T35	T36	T37	T38	T39	T40	T41	T42	T43	T44	T45	T46	T47	T48	T49	T50	T51	T52	T53	T54	T55	T56	T57	T58	T59	T60	T61	T62	T63	T64	T65	T66	T67	T68	T69	T70	T71	T72	T73	T74	T75	T76	T77	T78	T79	T80	T81	T82	T83	T84	T85	T86	T87	T88	T89	T90	T92	T93	T94	T95	T96	T97	T98	T99	T100
S1	0.0031423380707609	1.83598188549095e-05	0.0172174021657809	0.0390970982627	0.182002049586067	4.08386419729533e-05	0.0397542208986249	0	0.0499713923845298	0	0.00337593404846004	2.42580850770789e-05	8.32918254831054e-05	0.000314286464552036	7.88110372669609e-06	0.00543877156682965	9.48418628024163e-06	0	0.0155468518976181	0	0.00690033584768618	0.162638694528874	0	0	0.0105119076127663	0.0322945862922124	0.0313019336217272	0.0281099045797404	0.00302193419602312	0.0124021535699866	0	0.060847476529193	0	0.0157202223628217	0.00325401476995571	0	0	0	0.00827541166859724	0.00276668318943882	0	0	0.00254247374200646	0	0	0	0	0.000565558729376065	0.00809719554744826	0.0011509212391053	0	0	0.0734382049794235	0.00323400775462048	0	0	0.00934155999589846	0	0	0	0.00283543573949508	0.0138080474683266	0	0	0.00320195098051815	0	0.000549244894576377	0	0.00432299705091359	0	0	0.00102491258196342	0	0	0.000332268338595615	0	0.00150804992651632	0	0.0088360541866276	0.00195337893096492	3.3024374095373e-05	0.0164602016877538	0.0165314808100482	0	0	0.0135970833178698	0	0	0.00928868759282505	0	0	0.00123074131884519	0	0.00329959891057221	0	0.00020064394472786	0	0	0.00033134877360406
S2	0.00835803178474654	0.000114144556838341	0.0924284611777068	0.0179757149395779	0.0178617765920486	0.0448395986746867	0.0638959202878539	0.00197861415907199	0.0888109582264989	0.0247523613855474	0.0249136387635342	3.72292369342554e-05	0.0518860305123065	0	0	0.00219057935632495	0.0129447083735116	0.000232538918018105	0.00509024739202275	0	0.0151328708639096	0.0293170474365766	0	8.0844597270747e-06	0.0193708448282694	0.0113904251565004	0.000119935018926973	0.00512232022776486	0.0130255022721551	0	0	0.00522772214323807	0	0.0454638612122097	0.0216333781113035	0	0	0.0173897783501942	0.00200552176253981	0.0766174978221732	0.0262635795451452	0	0.0354526459944586	9.63237366987341e-05	0	0.00111711842687705	0	0.000549200540871757	0.00545191996121129	0.0016629706250222	0	0.00908440552769005	0.0122211565532389	0.000373604119197027	0	0	0.00399772016930256	0	0	0.0174872586618063	0.00678593323524334	0.0189724710925973	0.00201370997097609	0	0.00242461233153362	0	0.000114405785169214	0	0.00714734039838355	0	0	0.000645821044238167	0	0	0.0014907020848151	0	0.00265910566426043	0	0.0207466514811121	0.000123278731941636	0	3.22731613495972e-06	0.000663951001443606	0	0	0.00853656876921954	0	0.00471519051269995	0.0105163269218279	0.0022327698357795	0	0	0	0.0105297555903227	0.0088804068184352	0	0	0	0.000229938713469966
S3	8.39651690119175e-05	0	1.96074411984593e-05	0.0526648627881633	0.00656144026959235	0.0775824593624727	0.0768570740287947	0	0.0525813325882772	0.00763428542919629	0.0680670922599541	0.0580877007779409	4.60549879378894e-05	0	0	0.000612319641907052	0.00212591004188883	0.082656213872934	0.056115953384125	0.000107546581966168	0.00499490530754329	0.00382754541491634	0	0	0.0211738858827826	0.000811646348087255	0.00127012578191543	0.00406997791691049	0.00752729655247131	0.0126537981864006	0.0476723292233324	0.0430043725339403	0	0.0223892338556165	0.0020617893198212	0	0.0317913449836907	0	0.00485185721664155	0.0128741847545265	0	0	0.00262707277461076	0	0	0	0	3.353921538302e-05	0.00594037550324966	0.00055810168029094	0	0.000132395253887821	0.0218464705134466	0.000188379072390751	0	0	0.0142549023361347	0	0.0285436960373668	0.00824098049870165	0.00517290127044019	0.0065365513303592	2.32847220744875e-05	0	0.00604801193461925	0.0109115962645986	0.0600990623740495	0	0.0046776616113771	4.41371086307502e-05	0	0.000380317763746017	0	0	0.000164403615447784	0	0.00302994607093056	0.0002027274861206	0	0.000942727331607241	0.00026886401156182	0	0.0011409831355167	0.0117719789099695	0	0.014175477711682	0	0	0.00104641353019755	0	0.00577953825180608	8.4154779597734e-05	0	0.00376333411602056	0	0	0	3.95823100261649e-05	0.000162957299764247
S4	0.00059743318093631	3.87413376497768e-06	1.55885137365913e-05	0.0334335617288255	0.124940484771341	0.24792680469238	0.0546253775062089	0	0.00419540233998106	0.0362023943242739	0.0209625636502783	0	8.55621467026157e-06	0	0	0.00148874771828481	0.0109499584816362	0	0.0148660693894838	0	0	0	0	0.000100937590606106	0.00726280463164583	0.0457900713871119	0.0110272067254841	0	0.0289789818173291	0.000366758383815322	0	0.0460616674380466	0	0	0.0074783624805735	0	0	0	0.0126404842072119	0.00113873981785519	0.0131300670034498	0	0.021124258381718	0	0	0	0	0.0038128875119945	0	0.00207905004672016	0	0.00570577766279747	1.22079180863515e-05	0.00138528523983692	0	0	0.00413956664542831	0	0	0.00542735032833367	3.00471694245228e-06	0	0	0	0.00131864785559365	0	0.00908971666935502	6.62569904236179e-06	0	0	0	0.000704145116569218	0	3.25361138825771e-05	0.00616235557003351	0	0.0130968091832963	0	0	0.0029319234759471	0.000199603094294361	0	0.000987845327547783	0	0	0.00459983408022675	0	0.0011202900457249	0.000359070669525147	0	0	0.00356023626065955	0	0.00333373358367314	0.00373203894966389	0.000379425826871492	0	0	0.02669545429987
S5	0.0597663617922754	0	2.94137874388393e-05	0.0285084552309594	0.0772142021137564	0.0691409518855737	0.0822143715164744	2.92866701775325e-05	0.118928079233559	0	0.0248087691521899	3.0036317714552e-05	0.040107980161384	8.80006875863498e-05	0	0.0292859231503342	0.000542722120449084	0.0804593963486313	0.0484123987134754	1.91901338191171e-05	0.00200619791456291	0	0	0	0.0072545147472862	0.0223916716722853	0.000944547655507772	0.00109274721796603	0.026451113433308	0.0263999906965091	0	0.0263577668593522	0	0.0144076411716745	0.00357096649220316	0	2.49065345966509e-05	0	6.29009363433681e-06	0.0417486128927769	0	0	0.00234279870867561	0	0	0	0	0.00943698361977379	0	0.00107387040964979	0	0	0.00288260662732335	0.00149955390074394	0	0	0.00680692320544779	0	0.0235445327752741	0.0165352852452518	0.00097058419393139	0.000445596734029148	0	0	0.000612189356587336	0	0.0213814984177861	0.000148267949209267	0.00312831037362443	0	0	0.00237165040374525	0	2.38236695251542e-05	0.000108073094373948	0	0.000369555418415024	0	0	0.00167606144003136	0	0	2.62497481331603e-05	0	0	0.00623824997360223	0	0.005108825016232	0.000299203181810614	0	0	3.66235240341234e-06	0	0.00302781260736549	0	0.000391009475276072	0	1.79239895933671e-05	0.00840199096361999
S6	0.0390949288563495	3.67774393430549e-05	0.0743959006988948	0	0.173809827953645	0.00681225854898498	0.0043654586113886	0	0.0415739068225042	0.000928088275421987	0.00553264538407796	3.44124876669402e-06	0.00673258509487446	0.00100885774864486	0	0.0017325261789667	0.00290419165579569	0	0.000122942673836369	0.0960261096033856	0	0.00340082243892465	0	0	0.0641519663632685	0.000174281174486405	0.0153329178964768	0.00701728755189771	0.00505115112729233	0	0	0.000119683909748342	0	4.70732144361672e-05	0.0216656174503361	0	0	0	8.51126391180385e-05	0.000657958117825085	5.11292888607009e-05	0	0.0127549192358595	0	0	0.010315505329002	0	0.000442986172358499	0.000307267622694323	0.00288039539976724	0.000339815063238046	0.00360055300942416	0.00380424529641065	0.00514060951936741	0	0	0.00266482650968572	0	0	0.00905211024485987	0.0105721573978024	1.8598942659676e-05	0	0	0.00196537870936903	0	1.80469943909402e-05	0	0.0044435184332045	0.0200153330306172	0	0.00281903969609169	0	0.0934735121198225	2.05517741143424e-06	0	0.000218000384799175	0.0272825453615964	0.00398362541199561	0.00110681229123582	0	0	0.00057359795706032	0	0	0.00243836108658287	0	0.0122163245638813	0.00230219035109597	0	0.000695129725262136	2.15433166664005e-05	0	0.00795804907805527	0.000443963191355221	0	0	0	0.00627632029171706
S7	0.0193499050788541	1.98810466893645e-06	0.00723531585952441	0.0134808737149942	0.0631418930614818	0.0642617054877419	0.0798018020823668	0.0609557502550925	0.0597789968682349	0.0287917403597028	0.0157596497412577	0.0934679162166325	0.000271283876572383	0	8.56162483553331e-05	0.00201302890259498	0.00072862493813348	1.37408316356581e-05	0.00962364119461212	0	0.0230991351245616	0.00296736026946331	0	0	0.0102207317202922	0.00838438590766085	0.000198585985628637	0.00185729521175246	0.0318678269099797	0.0116985295145068	0	0.00658724430670434	0.00191224099951771	0.00804256353637683	0.0116824920298812	0	0.0409722369409222	0.000705840860062975	0.00105090465153468	0.0119243829598357	0	0	0.0131930853309712	4.32311073125835e-05	0	0.000325193151011833	0.00470325389796079	0.00562725305959353	0	0.0446423611664095	3.42504506240894e-06	0	0.0148160254719109	0.00116988575212678	0	0	0.0060489827038998	0	1.49853444906558e-05	0.0103569166425466	0.00563951883832257	1.15338260005737e-05	0	0	0.000742675692217969	0.00899367586407437	0.00264103859542059	0	0.00655478402421766	0	0	0.000423063234806967	0.000981196709262892	5.8919859593442e-06	0.00431038338616016	0	0.00195310755080364	4.15712316744702e-05	0.00455927235135575	0.0159194197022827	0.0227932899141561	0	0.000505482572974518	0	0	0.00293740660461862	0	0.00103853808680745	0.00100249682424627	1.49465728728217e-06	0.00943339354919084	0.00118503786275199	0	0.000681488129125239	0.000817304421188206	0.00934505211857488	1.55239572893029e-05	3.12963364248469e-05	0.000492112735746821
S8	0	5.9529935406904e-05	0	0.030264597617855	0.0245991754277206	0.012141041055834	0.00164202320622083	0	0.00200859349206605	0	0.012814563940326	0.198670115660323	1.98804329378041e-05	2.57227739759643e-05	0	0.000750201317808716	2.79648154469512e-06	0	0.00601127304846308	0	0.00938253387491679	0.00190120301445291	0	0	0.0102508344494433	0.00295103681748151	0.0618268074110262	0.00303473552953061	0.0266711713177535	0.00523898720782968	0	0.00600969149669334	9.45527365435837e-05	0.0686557133973394	0.00190771127200069	0	0.170815938397162	0	0.0183919635197199	0.0302507312211416	0.0121034583314505	0	0.00217472882972333	0	0	0	0	5.07427198310349e-06	0	0.0307388375774979	0.00937813780044016	0.00368951898752496	0.0112453620367833	0.00603362967117066	0	0	0.00408472964047868	0.0378818183286991	0.0237762570480619	0.00544161987501351	0.00453828867363077	0.027463657097412	0	0.000934406239291277	0.00124338823772288	0	0	0	0.0166791478089816	0	0	0.00108444905379766	0	0	0.00487919915541056	0	0.000166840569042815	4.39031483531506e-06	0	0.0211465393684189	0.00414770987015148	0.00490098347277558	9.65078077311915e-05	0	0	0.00541341356814736	0	0	0.00116439592271713	0	0.0126987484662741	0.000688815618982675	0	0.00109164028999924	0.00577839933816723	0.00024309478367857	0	0	0
S9	0	0	0.000135369251486879	0.0159083866902418	0.128456875484091	0.0340496209448103	0.0379985757101235	0.00010665998537057	0.0285776038442195	0	0.0268663354551505	0.0384367809127949	0.204094649020638	3.46667535997394e-06	0	0.000332765665107214	6.01999470948107e-05	0	0.0136198584767299	0.00233702933890149	0.00457537353405143	0.0266621192849993	0	0	0.0223122996680605	0.014042428990067	0.000394056380516288	0.0538827739518275	0.0181160186818083	0	0	0.012078894122623	0	0.000187637685843093	0.000762006036719105	0	1.67403549400557e-05	0	0.0323548118823436	0.0160216178844976	0	0.00518591349220316	1.35968913108419e-05	0.101675582972073	0	0.000289191399607078	0	0.00726747401314845	0.00209959309051392	0.00200246205598211	0.000265704536998877	0.00951426198845227	0.0231171817309208	0.000969231307838391	0.000354923057293224	0	0.0139500115025228	1.13596294509482e-05	0	0.00280924235749094	0.00377834067502729	1.98407738158844e-05	0	0.00478338955075472	0.00226113752014976	0	0.0262399186051964	0	0.00456698795144151	0	0	0.000183089095195021	0.00187896676366234	0	0.00398052009361719	0	3.81806585080661e-05	0	0.000501697154750066	0.00128770594196324	0.000515843911562275	1.44132114633761e-05	2.98923774773662e-05	0	0	0.00337905679480121	0	0.00359179329974174	0.00499600962598442	0.0012641394425626	0	0.00111653364823487	0	0.00365317745772327	0	0.000954450312051841	0	0.000207615570230699	0.00027865096011552
S10	0	0.430260263830323	9.8785488690696e-05	0.00802247672715343	0.0386263007351786	0.0292511950577558	0.0623654439915974	0.00633880927128435	0.0185471142899259	0.00174899802714237	0.0123970248342578	0.00461675744915395	0.000114630877237655	0	7.54677973227208e-06	0	0.000497735864748986	0.00161887104084947	0.0106258079306449	2.34492563957417e-05	0.00881145854696201	0.0019833859348258	0	0	0.0230611140980933	0.000690809532460587	0.00049048822886721	0.00163541432535137	0.0343845583297193	0.00493111623475446	0.00173999520502892	0.0070295505566741	0	0.00185560042253945	0.0136605923938955	0	0.0319111363842245	0	0.000223152931719095	0.00684282309426189	5.45414942953912e-06	0	0.0116325303962022	0	0	0	0	0.00249216693793179	0	0.00773674392501228	0	0.000745668461526189	0.023196319892084	0	0	0	0.0153672140499749	0	0.0338589136496218	0.00617630362001008	0.00265418366979768	0.0126062793177085	0	0	0.000315067753848159	0.00224925730085021	0.0230283670597005	0.000225546307010039	0.0106776027236886	0.000865546347528176	0	0	0	0.00234868555893127	0.00084643096927658	0.00110118987219609	0.000690462284958613	1.01768993199601e-05	0.00464413990460644	0.00583012389653362	0.000289863822327631	0.004624888724511	0.000250933669920852	0	0	0.00833648048832796	0	0	0.000951224469909945	0	0.0115898776619543	0.00272976269164402	0	0.000360873515759573	0.00240013994010281	0	0	0	0.00054867426869829
