feature	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	T31	T32	T33	T34	T35	T36	T37	T38	T39	T40	T41	T42	T43	T44	T45	T46	T47	T48	T49	T50	T51	T52	T53	T54	T55	T56	T57	T58	T59	T60	T61	T62	T63	T64	T65	T66	T67	T68	T69	T70	T71	T72	T73	T74	T75	T76	T77	T78	T79	T80	T81	T82	T83	T84	T85	T86	T87	T88	T89	T90	T91	T92	T93	T94	T95	T96	T97	T98	T99	T100
S1	0.0827935332276065	0.00219426233082913	0.340954769919076	0.0299506228434114	0.000239593629385536	0.0320066699341558	0.0357786964052801	0.00143303243363421	0.0693812509883118	0.000103745169035293	0.0226331020108468	0.000905726794335049	0.00539861976447227	0	0	0	0.00231090736536574	0	0.00157294694514552	0.00100627495086295	0.0102302648383336	0.00012329755638352	0.0010159718185078	0	0.00582537890650354	0.00027221288844999	0.00546597361727569	0.000772018983118047	0.0203820847742126	0.00243469685207846	0	0.00555126979072636	0	0.0103207361132759	0.0365223257337029	0	0.00327967297381447	0	0.000399451236964862	0.00037075593243221	0	0.00204553193814232	0.00524016516711085	6.83666724358803e-05	7.227580353703e-05	0.00529065079339957	0	0.00349014538591133	0.00318722522876446	0.000270573837648124	0	0	0.00102170222688264	3.46036304021859e-05	0	0.0231046249667129	0.0133708484038339	0.00207308529439236	0.0314399249907161	0.0139417786459916	0.0010446844004867	0.0179462890656137	0	0.00893249200148762	0.00129444043263724	0	3.88156267578022e-06	0.00744896807078396	0.00600572009654082	0.000179199187883208	3.67127790715968e-05	1.23853635163072e-05	0	1.52470361759063e-05	0.000461328469863279	0	0.00516401573284578	0.000135320218210352	0	6.63673049645865e-05	0	0.00238248259218725	0.000575022023679957	0	0	0.00751009890750842	0.000569810371832314	0	0.00112062442020835	0	0	0	4.11677077329821e-05	0	0.00171454643831153	0.00350761976812533	0	0	0.00340058349321025	0.00695208102569992
S2	0.00126499479365954	0	0.232182652296097	0	0.000285639567243694	0	0.0700321761353094	0	0.0749707536197322	0.00166244343759666	0.000457776741221563	0.0219043727224061	0	0.00119956723094431	0	0.00571019221412132	0.00585298295973546	0	0.0709949981354801	0	0	0.0872645680777179	0.000423102941782456	0	0.0104636820392509	0.0578117853031478	1.59966753173362e-05	0.00512691923643068	9.99664969530023e-05	0	0	0.0585588687272616	6.58362589113404e-05	5.52238935261037e-05	0.0109304303088908	0.00243452203152452	1.81307334837555e-05	0	0.00847930073319576	7.67637728594887e-05	0	0.0450728629821971	0.00390758863697438	0	0	0	0.00066947162623056	0.00236442400441007	0.011086371290434	0.000841251804134998	0.000103233874685221	0.00208037911521991	0.050259564724877	0.00385182337876576	4.7548800545265e-05	0	0.00262669183767166	9.65797779213732e-05	0	0.00589793895815411	0.00608786741270143	0.000108681312046028	0	0	0.0223569008540304	0.000101006409609882	0	0.00287523501811684	0	0	5.51990985711073e-05	0.00490932237220889	0	0	7.80167814559138e-05	0	0.000415118517529631	0	0.00491060234887348	0.00108221989595941	0	0	5.72401737933551e-05	0	0.0151401381905757	0.00272016374855887	0.000132295590802074	0.00655725725177191	0.00350154734915921	0	0	0.000960258133245776	0.000490750985254646	0	0.00163357087751692	0.000621000617636915	0.00388398661809242	0	0	0.00220376358294588
S3	0.00142811655172997	0.0066479701694396	0.000129923492020998	0.00574535958894159	0.000221076796854806	0.000430247699289272	0.0072364252662831	0.211638235465569	0.036957984220935	0.0471237817834519	0.000676084633616204	1.36187807146909e-06	7.50475810170911e-05	0.00018835737876854	0	0.000194286260899541	0.000785239233802096	0.000173074736113616	0.00119716041707676	0.353129742757778	0.0815710861658208	1.86919767620958e-05	0.00131466231532802	0	0.00439373603063888	0.000340719344515133	8.83898850244117e-07	0	0.000966631730572432	0.00733688235721227	0.00260640698637561	7.04017818896649e-05	0	0.000301966474773821	0.0225194055596669	0.0026351794840505	0	0	0.000217667531841039	0	0	0	0.0480832267293459	0.000132129083511223	0	0	0	4.2516644368841e-05	0.000116102888836835	0.00208412208121293	0	0	0.000879588770451037	2.41615511074409e-05	0	0	0.00817732070836607	0	0.00131165321480719	7.15059168775146e-05	0.00172037471313141	0.000707609320843158	0	0.0283301901881412	0.00470717570458617	0	0	0.00947074852268849	0	0	1.28083115437642e-05	0.000289775108430361	0	0.0224543353050767	4.24745198671691e-05	0.00201160304127249	0.000552669586574741	2.38243100595771e-05	1.33686580252986e-05	0.000634613637124307	9.67059356892549e-05	0.0013374598231563	0.000508370950788368	0.000214378879720904	0	0.00965231970930602	0.00126714771915302	0.00102355943861101	0.000517279236335851	0	0	1.74456234069091e-05	1.42280657877182e-05	0	0.0001533539687629	0	0.000907301469112348	0	0.0173990459009632	0.00111262235745517
S4	0.00358530326982027	0.000190933589984226	0.0749025998867619	0	0.348652690059277	0	0.0359018618843809	5.95301160056027e-05	0.0434495574861615	0.0122150952510847	0.00760545317066199	0.00465996147958508	0	0	0	0.0040423397189849	0.00522271926836231	0.00779409844953387	0.0423377924153992	8.7255406326034e-05	0.0121141760759701	0.00364151831931257	1.0386261427744e-05	0	0.00579888104152696	0.000167726702852941	0.00245433189789515	0.00254720822979791	0.0211981019265833	4.09237555258537e-05	0	0.00536403707866291	0	2.42987028853645e-05	0.00413860381796957	0.00361046447191874	0	0	0.00157220332596157	0	0.0195879855604231	0.000287548302851295	0.00711153461921185	7.51223554501072e-06	0.000232951944802182	0.0009937345383293	0	1.2650486380581e-05	0.00101483942168804	0.00118751068920104	0.000570809401176779	0.00175310387781022	1.48168644029295e-05	0.0013103379397601	0	0	0.0365626561687628	0	0	0.00093784731518976	0.00315511726416902	0	0	0.0247338055107782	0.00213334387872345	0.000738135889662929	0	0.00290214930959455	0	0	0	0.0029671584526792	0	0	0.000311637702994399	1.43498930466495e-05	0.00257863752447553	0	0.000152512816625079	0.00043498139197019	0.000170603648263408	0.0124295766720498	0.00322167149022832	0.0128877903952888	0	0.0160926558826378	0	0.00383820945954801	0.000674044109386156	0	0	0	1.40231546596841e-05	0	0.009010543945983	0.00120624307381245	6.61029568239605e-05	0	0	0.00208280193471052
S5	0.00148209101197979	8.12364976392128e-06	0.197242839995553	0	0.0184642551042767	0.0283736141872489	0.0268166810561677	0.166942095395336	0.0451115075752718	0.0235164621099658	0.018370087366493	0.00191592375465872	0.0375646577929007	0.000118624239303245	0	0.000598786000647698	0.00944196249076965	0	0.01553744308207	0	0.00625314421165902	0.000560680892493005	0	0	0.00402422362189173	0.0059494430104742	0.00334894549797002	0.00163245558962915	0.037906278356657	0.00856071218013979	0	0.0819847718152447	0	0.0539924347782217	0.00104593893615761	0.00671049400217631	0	0	0.00140029134382465	0.000576005752797935	0	0.00223877239160042	0.00214987265036876	0	0	0	0	0.00362514854635919	0.000185418965148836	0.000466844960773073	0.000135040077702342	0.00443106600738978	0.00111465175358428	0.000807550899619601	0	0	0.00886189498386726	0	0	0.000259023205981109	0.0349894397717094	0.00201136208856042	0	0	0.00102831656957601	0.00124170742299371	0.00698945997712019	0.00281310465368861	0	0	0.000206725208126141	0.00020176627028887	0	0	0.000469749040374328	4.9619872188121e-05	0.000307552836517508	0.00400543055280506	0.000588080693539563	5.78284312068745e-06	0	0	5.9976910001478e-05	0.0141099019266802	0	0.000360282186130469	6.45478695271983e-05	0.00146631047374996	0.00377387770818371	0	0	0	3.3773781400624e-05	0	0.00340875468867435	0.00185441756157069	0.00083443486376586	0	0	0.00144315198818306
S6	0.00636430829810844	0.000204943421520963	7.99247629571985e-05	0.00658016689501377	0.0262883808017412	0.0368862761360324	0.00801690817357546	5.14658439847765e-05	0.013644802477085	0.000707885090961007	0.000106747982038048	3.58096076211916e-05	0	0.000770797073891516	0	5.31582285205812e-06	0.0143550177596417	7.7942468473611e-06	0.000194908308619619	4.05052265640511e-05	4.08910568981789e-06	0.266571227307139	2.26364091690538e-05	0	0.00391358137153795	0	0.300014801091291	0	0.000247611131989052	2.28618873279308e-05	0	5.61184437124487e-06	0	0.0244681082988192	0.00470448544824205	0	1.32793817424498e-05	0	0.0919150467465213	8.33002753235676e-05	6.32123530560887e-05	0.0011775737538937	0	4.25011461113684e-06	5.64610856074962e-06	0	0	0.0153904761687513	0.000841595232618554	0.000221785450783309	9.40711344688982e-05	0.0679634914279637	0.0011410143739856	0.00728363725452323	0	0	0.00458285748982131	0	0	0.00912544315740542	1.18804475391794e-05	0	0	0	1.09301387372628e-05	0	0.00190763641685617	2.36880680540058e-05	0	0	0	0.00461680064731494	0	0	0	0	0.000374610458011922	0	0	6.89053556384986e-05	0	3.86379223406046e-05	6.34595364050844e-05	0	0	0.00512215046331632	0	0	0.000127138882524363	0	0	0.000527148282099794	3.79701129927704e-05	0	0.00444740617463567	0.000109658112777421	0	0	0	0.000124900356886261
S7	0.104596940899776	0.000128906663986085	8.9944950194906e-05	0.0153504998688855	0.285458409219271	3.21588781459129e-05	0.000238513629411146	8.38833525074154e-05	0	0	0.00739214781710896	0.000111968061664353	0	0.00173067936270051	0	0.00435514412355393	0.00060680487401482	0.00155937261860615	0.0150692011959652	5.15606325163433e-06	0.0624941345175671	0.000691904960175353	5.20295584211458e-06	0	0.151015507055782	0.00411335227079432	0.000629523268432648	0	0.0061945802974499	0.000138942739731121	0	7.37924209579131e-06	0	0.00606078800327422	0.0550305405172592	0.0613567139111774	0	0	0.000302759632105886	0	7.0528753030922e-05	0.000299395885652384	0.0069459904844946	0.000878302252705635	0	0.00729932023764716	0	7.08262865892264e-05	0.00448161745850471	0.00515298243654978	0.00129558169616063	0.000708085443079682	6.5212571773363e-05	0.00371756717452809	0	0	0.00694874243140193	0	0	0.00753093015721928	1.47141879806812e-05	0	0	2.1485614936114e-05	1.86914571926692e-05	0	0	4.6089374221026e-05	0	0	0	0.000923635911977366	0	7.97270325499821e-06	9.98676297418264e-05	1.4679061758123e-05	0.00129334691381483	7.78860997475652e-05	1.01003222120257e-05	0.00220362665189254	0	1.38198845218571e-05	0.0012318551994149	0	0	0.0108991831639502	0	0.0532355869416126	0.000378788122524171	3.88128873167424e-05	0	0	5.72437080719433e-05	0.0161862261822552	3.01425170311008e-05	0.000862811477302717	0.00340674950044145	0	5.87330595364731e-06	0.00088579085796653
S8	0.00430246741736698	0	0.000141381996898807	0	0	0	0.00024311994291806	2.40196789735263e-05	0.00723711813545694	0	0.0261365990303403	0.000697668128608575	0	0.00309452830331111	0	0.0355590896505451	0.0811380034390869	0	0.18268952380356	0	0	0.000325408303355674	0.000191397434294914	0	0.133241473313767	0.000282603628952078	0	0	0	0	0	7.60445104502416e-06	0	2.42692070116431e-05	0	0.0908614730171363	2.73911107559039e-06	0	0.00604459812574511	0.0258172805983398	0	3.4806473654297e-05	0	0	0	0	0.184187878092597	0.0419858215954541	0.000568544815652485	0.0001695294059224	0	0	8.99812543360281e-06	0.000814017325317974	0	0	0.000237894333906795	0	0	0	0	1.05858167804525e-05	0	0	1.60414719958277e-05	4.53512432073483e-05	0	0.00211611396997947	0	0	2.30694342210735e-05	0.00154281962298201	5.29160485271022e-06	0	5.56103191262696e-06	0.000479634906147336	0	0	0	5.38028968703584e-05	0	0	0	0	1.01825819394981e-05	0	0.000152255059927056	0	1.33265974881089e-05	0	0	0.0860733634422413	4.75264873647783e-05	0	0.0022072552411061	0	0.00248362623014983	0	0	0
S9	0.206393761631548	4.40461701156151e-05	0.000177161487484844	0.00653137391789699	0.00010880574572202	0.126112283456999	0.00274384918931896	0.00305703828744979	0.00711313190385985	0.000207819868849893	0.043401994855592	0.133515619515976	0	4.90694332121557e-05	0	0.00286066261848957	0.000117320436599312	0.000371064017011003	0.00284858142990519	3.95845571622835e-05	0.0017966345097334	0.00610368000776958	0.0326846507152563	0	0.00871451366952138	0.0132260629942075	0.00084664445721639	0.0172722161553956	0.042497354978374	0.00352686660718626	0	0.0159418827601545	0	0.000212280479450274	0.000262075731882721	2.84433483035179e-05	0.0856505967604694	0	0.00315337796542952	0.0758898630650065	0	0.00463673574008036	0.000710632984375831	7.73597092660479e-05	0	0	0.00233783112245849	5.53282848187248e-05	0	0.000191577075390458	1.41566264633889e-05	0.0215253221455827	0.055872781873061	0.00228936050969898	0	0	0.000918941586686315	0	0	0	0.00660342970988525	0	0	0	0.000731232199778952	0.00840800949483925	0	0	0.0122199460721254	0	3.50985284904541e-05	0.000228084528611376	0	0	0.00336984989035656	0	3.90755310273732e-05	7.90175009911405e-05	0.00292545004849918	0	0	0	0	2.29233560206957e-05	0	0.00278833901221137	5.20956809707433e-05	0	0.0067624322628167	0.00289164982101315	0	0	0	0	0.00284347804942424	9.69794222242336e-05	0	0	2.15609809325193e-05	0.00014161456710644
S10	0.0546384514280404	0.000208413959101043	0.00535087500494743	0.00350682566772555	0.0271616582175443	4.86521595848468e-05	0.0128541934601165	9.06709133937002e-05	0.076500690108103	8.0973703719139e-06	0.00392676484240638	0.0412440542871742	0	0.000293155128314799	0	0.00507190893426661	0.0106692806791539	0.000476086134225182	0.0606508854025932	3.40767291045591e-05	0.00623746203471391	0.00100883773434544	1.95236699414322e-05	2.63367353841682e-05	0.0208482939063286	0.000768972763410518	0.0119216754526119	0.00101679341614941	0.0176872979766181	0.0386593123243226	0	0.00368809467070524	4.82383213347751e-05	0.0282302369718011	0.00198872254347149	5.56651541523086e-06	1.03224660094673e-05	0	0.00496021428608622	0.000632631436907752	0.00687260342590776	0.123838294955763	0.00311703722612741	3.39286691847156e-06	0	0.00485381927691796	0	0.0139353276703825	0.00122048351101201	0.0379143465052439	0	0	0.0304047052159919	0.000193548479891248	0	0	0.00835896880593377	0	0	0.00578801831051293	0.0030537004084355	0	0	3.06375585820247e-05	0.00779896707552922	0	1.22843569125552e-05	4.47603380326696e-05	0	0	0	0.000624172203483643	0.00381461854273863	7.10053635852684e-06	0.000379121863207129	0	2.7876281348664e-05	0.00978194197246411	0.000631390160201131	0.0251978551030004	0.00174404617012555	5.58555658175786e-05	0	0.00144662688251976	0	0.00651661619086288	0	0.00167370332225964	0.0003285214100462	0.0129729246471885	0	0	0.00584178091359204	0	0.00510194565423069	0.00138232215780064	0	3.23027352333096e-05	0	0.000614787280660655
