feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T25	E1	CRC	0.0160366706607022	0.00520332419306326	128	128	0.00252595101011822	0.126297550505911
T79	E1	CRC	-0.00623411716104611	0.00201317860773563	128	96	0.00241287977833599	0.126297550505911
T32	E1	CRC	-0.0139528280653594	0.00475774749760767	128	114	0.00399325770534698	0.133108590178233
T6	E1	CRC	-0.0425572829250967	0.0156001681255793	128	107	0.00728220849831738	0.155206916283352
T7	E1	CRC	-0.0329839030739954	0.0122476701093794	128	128	0.0080433101852852	0.155206916283352
T14	E1	CRC	0.00257348586777549	0.000974436027509374	128	91	0.00931241497700109	0.155206916283352
T3	E1	CRC	0.0400224941364057	0.0154926651091843	128	80	0.0109269073285254	0.156098676121792
T44	E1	CRC	-0.00742181814515409	0.00293551262712655	128	69	0.012697463984571	0.158718299807138
T88	E1	CRC	0.00288815138530639	0.00116262296018439	128	56	0.0142980329734706	0.158867033038562
T60	E1	CRC	-0.00581969165478714	0.00250312883449026	128	94	0.0216729977720728	0.216729977720728
T21	E1	CRC	0.00709692485197905	0.0033033365179897	128	104	0.0335941808073335	0.275778286433725
T31	E1	CRC	-0.00839424113834622	0.00395702717208835	128	26	0.0358511772363842	0.275778286433725
T49	E1	CRC	-0.00263156530735808	0.00121019162824935	128	108	0.0315355081949024	0.275778286433725
T68	E1	CRC	0.0018363777552493	0.000909509361137341	128	61	0.0456002652784134	0.304001768522756
T89	E1	CRC	0.00238341687551553	0.0011689112426077	128	117	0.0435410815125	0.304001768522756
T53	E1	CRC	-0.00494204317982375	0.00270734284724943	128	114	0.0703056540337026	0.439410337710641
T27	E1	CRC	0.0103061115037304	0.00631210746585763	128	86	0.105017574210961	0.548793923667055
T45	E1	CRC	-0.00479817645404772	0.00289540278829393	128	56	0.0999729311764984	0.548793923667055
T51	E1	CRC	0.00136475986638653	0.000860506455228213	128	42	0.115246723970081	0.548793923667055
T56	E1	CRC	-0.00315223733654137	0.00191916013192137	128	17	0.102978028343755	0.548793923667055
T78	E1	CRC	-0.00183050499502948	0.00114153950850629	128	72	0.111319169605918	0.548793923667055
T9	E1	CRC	-0.0142783082597355	0.0111248904239507	128	126	0.201687791013732	0.566314130359561
T16	E1	CRC	0.00617918929426667	0.00457870664041868	128	108	0.179580473053346	0.566314130359561
T18	E1	CRC	-0.0121911599902144	0.00810361353540141	128	82	0.134978304535189	0.566314130359561
T20	E1	CRC	0.00914722508077714	0.00669110665517714	128	36	0.174036746888477	0.566314130359561
T22	E1	CRC	0.00682734404819449	0.00541300462737629	128	109	0.209536228233038	0.566314130359561
T41	E1	CRC	-0.00279808996612852	0.00215886872612346	128	38	0.19731322566194	0.566314130359561
T54	E1	CRC	0.00365896663033442	0.00237189672653645	128	121	0.125427623413529	0.566314130359561
T58	E1	CRC	0.00463293926060823	0.00345503775279961	128	26	0.182357840219857	0.566314130359561
T59	E1	CRC	-0.00442109753919287	0.00295032784106063	128	35	0.136501851709866	0.566314130359561
T62	E1	CRC	0.00243266953337678	0.00182922361183866	128	41	0.185956324070688	0.566314130359561
T72	E1	CRC	0.000566907791707004	0.000444167811807358	128	110	0.204183975927023	0.566314130359561
T76	E1	CRC	-0.000592353311209614	0.000451483581319102	128	43	0.191900311215718	0.566314130359561
T80	E1	CRC	-0.00198470737703028	0.00143198875249354	128	107	0.168201114760583	0.566314130359561
T86	E1	CRC	0.0021097614321558	0.00155867579294033	128	114	0.178299916556732	0.566314130359561
T90	E1	CRC	0.000567480303481069	0.000442169371313292	128	42	0.201707261714371	0.566314130359561
T95	E1	CRC	0.00146747624903873	0.00101100991953852	128	118	0.149127270881527	0.566314130359561
T33	E1	CRC	-0.00163353990930673	0.0013349321640728	128	19	0.223353513197076	0.587772403150201
T46	E1	CRC	-0.00351765658147158	0.00291367938239904	128	93	0.22958187469638	0.58867147358046
T34	E1	CRC	0.00358718112379772	0.00308125637245315	128	108	0.246544927121103	0.616362317802758
T36	E1	CRC	0.00364665321527373	0.00319508520768708	128	83	0.25589627650482	0.624137259767854
T48	E1	CRC	0.00437901992524352	0.00396164297601115	128	117	0.271112175801439	0.634272104862232
T55	E1	CRC	-0.00108667422398586	0.000999633175684035	128	47	0.279079726139382	0.634272104862232
T92	E1	CRC	0.0018570716161564	0.00170725397773214	128	39	0.27878025128307	0.634272104862232
T5	E1	CRC	-0.0157174861206179	0.0158458820790779	128	124	0.323148689216571	0.660944474751143
T24	E1	CRC	-0.00495710748983712	0.00503571797688435	128	27	0.326810558037648	0.660944474751143
T39	E1	CRC	0.00341255410325333	0.00330733877444398	128	126	0.304136345097474	0.660944474751143
T47	E1	CRC	0.00390641344560688	0.00378213115541654	128	62	0.303647645587371	0.660944474751143
T94	E1	CRC	0.000493550734964865	0.000494904568310323	128	11	0.320547505896164	0.660944474751143
T99	E1	CRC	0.000397643827064791	0.000407031140887728	128	23	0.330472237375571	0.660944474751143
