feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T35	E1	CRC	-0.0107232334826376	0.00256875087783068	157	150	4.96399040511658e-05	0.00496399040511658
T4	E1	CRC	-0.0170031491314725	0.00471394065426884	157	126	0.000417287436773098	0.0149853395088882
T5	E1	CRC	-0.0306293022370734	0.00854141668884505	157	153	0.000449560185266646	0.0149853395088882
T89	E1	CRC	0.00417676484054706	0.00127779921831215	157	150	0.00133083328350516	0.0332708320876291
T32	E1	CRC	-0.00983922718660905	0.00307801206160982	157	137	0.00168548937353583	0.0337097874707166
T30	E1	CRC	0.00569305786002658	0.00188352588228874	157	127	0.00293366122065309	0.0419094460093299
T95	E1	CRC	0.00227710802164342	0.00074453952243891	157	133	0.00262207640490922	0.0419094460093299
T77	E1	CRC	-0.00324682442272494	0.00111255090109266	157	146	0.00404280407711866	0.0505350509639832
T76	E1	CRC	-0.00214682486780678	0.000762355092610086	157	56	0.00549431459902668	0.0549431459902668
T79	E1	CRC	-0.00256040449773564	0.000903688624544171	157	119	0.00522051176409055	0.0549431459902668
T10	E1	CRC	-0.021407093286903	0.00801707644190804	157	133	0.00838938101353403	0.0762671001230367
T36	E1	CRC	-0.0082716533162359	0.00319233656963295	157	55	0.0104804323836547	0.0873369365304558
T31	E1	CRC	-0.0155484763061245	0.0061973338366837	157	51	0.013138916335523	0.101068587196331
T27	E1	CRC	0.00726889042506951	0.00305023347591148	157	133	0.0183805948424957	0.131289963160684
T74	E1	CRC	0.00119892507395193	0.000511056118843349	157	34	0.02024343889238	0.134956259282533
T9	E1	CRC	0.0253482716470489	0.0110823201390455	157	157	0.0235329014002381	0.138428831766107
T33	E1	CRC	-0.0123304889797867	0.00535360256774325	157	132	0.0225962080305772	0.138428831766107
T50	E1	CRC	-0.00933084268407336	0.00415431534915586	157	142	0.026113561732666	0.145075342959256
T61	E1	CRC	0.00264892812428922	0.00119758690028116	157	143	0.0284374443589302	0.149670759783843
T60	E1	CRC	-0.00407402077714157	0.00192384128036543	157	141	0.0358003944860012	0.170538505346616
T88	E1	CRC	0.00193747568125055	0.000914981853770781	157	57	0.0358130861227893	0.170538505346616
T29	E1	CRC	0.00769164425447721	0.00381209812639278	157	146	0.0453486542404305	0.206130246547411
T3	E1	CRC	0.0217227818119015	0.0109320589426767	157	128	0.0486766627914309	0.211637664310569
T69	E1	CRC	0.00284567073151746	0.00145952008273578	157	123	0.0530129619319247	0.22088734138302
T17	E1	CRC	0.00423146215404273	0.00223473989265417	157	106	0.0601559049977385	0.231368865375917
T57	E1	CRC	-0.00358241392171771	0.00188460067183164	157	155	0.0591728498316461	0.231368865375917
T28	E1	CRC	0.00667210998996082	0.00375289654884094	157	112	0.077388235551282	0.286623094634378
T91	E1	CRC	-0.0031875304540835	0.00182419846469431	157	36	0.0825554791896948	0.294840997106053
T58	E1	CRC	0.00297293580835708	0.00177839348067431	157	20	0.0966016106330472	0.322005368776824
T99	E1	CRC	0.00107273743497315	0.000640659770203535	157	51	0.0960634625041764	0.322005368776824
