feature	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	T31	T32	T33	T34	T35	T36	T37	T38	T39	T40	T41	T42	T43	T44	T45	T46	T47	T48	T49	T50	T51	T52	T53	T54	T55	T56	T57	T58	T59	T60	T61	T62	T63	T64	T65	T66	T67	T68	T69	T70	T71	T72	T73	T74	T75	T76	T77	T78	T79	T80	T81	T82	T83	T84	T85	T86	T87	T88	T89	T90	T91	T92	T93	T94	T95	T96	T97	T98	T99	T100
S1	0.000828933981075043	0	0.0213330160420896	0.0295631618836197	0.0376759555424091	0.0507475089760621	0.0522263206998268	2.23390633854552e-05	0.181621451454671	0.136844847470044	0.0193113516358313	0	0	0	0	0.000882875376826667	0.00145322854493063	0	0.0140319872405221	0	0	0.00107435292736012	0	0	0.00474979828935912	0.0159902337256235	0	0.00133798142516592	0.0815173414727427	0.00557988301419391	0	0.00321503607585338	0	0.00485962877631305	0.0299155299358238	0	0	0	0.000853534721843874	0	0	0	0.00406802082483307	0	0	0.000169411046735032	0	0	8.42490711142043e-05	0.00128130758024561	0	0	0.00137034567166377	0.00010164773415728	0	0.00700892165092161	0.0215545026444346	0	0.0290344171069408	0.0516879951471169	0.0128574894401485	0	0	0	0.0181620246839442	0	0.0115328506153691	3.86033483132697e-05	0.00208909573449475	0	0	9.44915406207066e-05	0	0	0	0	0.0162932593293495	0	0.00556022817161628	4.97941058810617e-05	2.93049273863356e-05	0	0.0142691990441225	0	0	0.00172412897909499	0	0.00118384828830423	0.000603942010712981	0	7.11238411245897e-05	0	0.000103523310184586	0	0.00356483739025653	0.0259901390636463	0.000611231757019123	0	0	0.0334971971306319
S2	0.000185342386734821	0.533413898198583	0.00611345715333944	0.00642622417884594	0.00010600213454663	0.00233745737730083	0.0227317768716241	0	0.0101326226288639	0	0.0182848495235638	0	0.0041986714961635	0	0	0.000112473507567448	0	0	0.0164239413221843	0.000673930290912204	0.000798700262970864	0.0025583795661785	0	0	0.018001412224217	0.00764520295905977	0.00115247187187619	0.00167287935826132	0.0345608731195406	0.0117570879903864	0	0.00305129788407479	0.00230546086342778	0.0135825004193102	0.000463333673713642	0	0.0429416105977111	0	0.00231888239477922	0.0644281956624922	0	0	0.00112285536327393	0	0	0	0	6.27127331308665e-05	0	0.00042445312970049	0	0	0.0280642619350483	0.013540033881382	0	0.0194047648942039	0.00252594879216509	0	0.025304623006085	0.0122272987529319	0.00070185060847194	0.00281579696189302	0	0	0.000309935133290967	0.0077222832633784	0.0122187460469137	0	0.00193180492759356	0.000314264868477258	0	3.6307319565998e-05	0	0	1.50299769195645e-05	0	0.0010033568314555	0	0.0147215722556302	4.5673551252717e-05	6.28887605809825e-05	0	0.000443430223380874	0	0	0.00104464214787603	0	0	5.25218004909411e-05	1.82914918160701e-05	0	0	2.95916041973903e-05	0	0.00390811899976738	0.00805625227943112	0	0	0.000234262637510522	0.000205582490572953
S3	0.000355475440994549	0.0463914242648279	0.00905401450684368	0.024014643385377	0.0521788523612206	0.139824216500284	0.0978174905844385	0.0356273962334348	0.0405925620415002	0.000409852696603941	0.00672348027843116	0	0.000412311341974315	1.81090160168561e-05	0	0.000504921287967538	0.0037098016431052	0	0.00122208367053573	0	0.0190516003659127	0.00104944720850541	0	0.0955727544360258	0.0373748510330902	0.00485563027859496	9.81280946446206e-05	0.000977746585499654	2.73147595579186e-05	0.00526619825054188	0	0.0178850201302778	4.58596479970561e-05	0.0073071966741546	0.00798957568626798	0.000176497790637603	0	0.0286025131536955	0.00295585598385747	0.0126637953372809	0	0	0.021038242330317	0	0	3.83839481708318e-05	0.000380755950285704	0.00168819918254426	0.00227745027646318	0.00864534211324007	0	0	0.0250132937167976	0.000361681335874719	0	0.0406518947751833	0.0220785281601678	0	0	0.00705594142322858	0.00416284475938725	0.00224325541944263	0	0	0.0111990793022329	0	0	1.69276174992588e-06	0.00156778678879414	0	0	3.15023955142831e-05	0	0	0.000173664883915209	0	0.00184610790587973	0.00235188996884161	0	0.00413060056473132	0.000571522677717362	0	0.00216017478806027	0	0	0.0159595522281622	0	0	0.00183440839556943	0	0	0.0154341866413592	0.000865572265322946	0	0.00366997084048249	0.00417635208154884	0	0	0	0.00562260936142479
S4	0.00507294185455902	0	0.00420036751591843	0.00837361247797756	0.00144729648650251	0.0855366531655202	0.0186486266692376	0.000190646049451514	0.0467932370216092	0.000274239100334	0.0613227741497559	0	0.000695917160844236	0	0.00607446907032553	0.000948084744109778	0.00461251138147435	0	0.103775751598846	0.000434114879017399	0.000382604912739392	0.0192636003219398	0	0	0.0665128524876222	0.00521675452222134	0.00434624343699855	0.00502114557277954	0.0293928513513662	0.0167259357607862	0	0.00439876112697429	0	0.081615573243874	0.0035513859911313	0	0.0561165113066819	0	0.010869970087467	0	0	0	0.0213029375305704	0	0	0	0	0.00249717094215333	0.00247804522099916	0.000255380132541115	0	0.00246700055671609	0.00191194639472929	0	0	0	0.0189786968666716	5.26346453276291e-05	0	0.0268513618995548	0.0154385464083101	0.024757054901895	0	0	0.000771677687177964	0	0.0960464504082697	0.000202546078728502	0.0114007535213593	0	0	5.47608960249246e-05	0	0	0.000470624949119633	0	0.00056992212252804	0.0132823128772673	0.00963735474541305	0	0	0	0.00115065800326166	0	0	0.0100900619006433	0	0	0.000195075277737538	0	0	0	0.000227044611154788	0	0.00399910494502854	0.00120220073790686	0.00789956105133029	0	9.44797555414473e-05	0
S5	0.092902563018624	0	0.0083305434444529	0.0166701584972926	0.148128131975576	0.154972700848818	0.0329332479870406	4.91573162445049e-06	0.0336657874755822	0.00244713847201286	0.0200578821203463	0	0.000158488145347021	0.000802422574153295	0	0.0251924141964858	0.00388362959956947	0.0351664665777953	0.0288356722787036	0	0	0.000157252105239001	0	6.10437097391154e-06	0.0228911121288089	0.00383622203704352	0.00109157311776349	0.00656767322100945	0.0119400155753681	0.00493515645063649	0	0.000538955694768861	0.0176621040278929	0.0100543260875446	0.00991453611816532	5.44888931116702e-05	3.08257762631444e-05	0	0.00527265101718274	0.0477260884048956	0	0	0.0102890737198707	0	0	0	0	0.0120011717539075	0.00376548382684727	0.00194715498328704	0	0	0.0138309724349696	0.00063370396292186	0	0	0.011403161184184	0	0.0026300394678448	0.0180189812537172	0.00224456955027995	0.0173544882997002	0	0	0.00123957736256851	0	0.00785982348949162	0	0.00386846782644646	0.000663649704129445	0	0.00164071460532354	0.000135576258276204	0	0.00455595494436476	0	0.00404692743420155	0.000160603381753527	0.00680418022482804	0.0021379394690001	0.000543949836068723	0.0142998066498985	0.000142266791692835	0	0	0.00565484443634962	0	0.000959110175153448	0.00193777045159866	0	0.00273905186127414	0.000832724363888263	0	0	0.00382876496480199	0.00294833969194165	0.00309897069631143	0	0	0.0004886153192671
S6	0.019070902094431	2.2494925042036e-05	0.0265213592357943	0.0212861373607755	0.0316685785100723	0.109483524958261	0.0766189289306152	4.83896088803076e-06	0.151277306172869	0.0384307531692256	0.00762653414317407	0.0170288018254876	0.00872645611681817	1.50408760429986e-05	3.93844114402683e-05	0.00160889728401555	0.000834227614716771	0.00984567580179029	0.0175692441159113	0.0367585250563743	0	2.49847153975603e-05	0	0.009749685785904	0.0163108522739027	0.000537845071361984	0.00204773867859217	0	0.0366244354054061	0.00938432088165624	0.00717710097708284	0.00376842456192872	0.00564571874521459	0.00343588974719388	0.0284666485845697	0.00593899261945545	0	0.00153774867476419	0.00272157345899668	0	0	0	0.0147917923537818	0.06007220155739	0.000254841329430841	0	0	0	0.00843416365744332	0.0271614326056679	0	0.00181311071461421	0.0103526659012373	0	0	0.00429680150840259	0.0284661131769808	0	0	0.00673090863904186	0.00159886828814973	0.0128343673507338	7.58142810793188e-05	0	0.0114747312125267	0.00221521639174416	0.00681505405960238	4.40685342546042e-05	0.00582299033920965	0	0	0	2.02939815986946e-05	0	4.78973749818572e-05	0.000108390705349985	0.00084640510869175	0	0.00426559914508144	0.000560184514423495	0	0	0.00128859518730912	0	0	0.00907874888496732	0	0	0.00301089817455348	0.000157734856032583	0	0	0.000146682313885287	0.00697073753456528	0.00406989957943739	0.00364390411909205	0	0	0.00781941409259382	0.000543783291861658
S7	0.000107321650669506	0.0512475722149412	0.000121405250479897	0.0206364093936004	0.000146557919133289	0.00803594288448465	0.0984065282390526	0.00138144416202113	0.0149417026875125	0	0.0019257522474225	0	0.000218007968867589	0	0.14108015689104	0	0	0	0.000830579580867895	0	0.0366836302055493	0.000210905924687149	0.00304753197533887	0	0.00972728437112602	3.19196818164397e-05	0	2.73438854500078e-05	5.49730377811444e-05	0.00202513354500284	0.229166107850185	0.0528420544104405	9.1769536745463e-05	0.00340159286462608	0.0283725951609146	0	0.0136921011064689	0.00910850053519714	0.00292227126835968	0.0192346021629007	0.00258286169152801	0	0.0370113743204139	0.00121506490984672	0	4.0735647215878e-05	0	3.29423947921772e-06	0.000680915997839936	0.000306173473100926	0	0	0.0143956408965878	0	0	0	0.0125632416276982	0	0.0621546574402772	0.0216054857344049	0.00101795695700693	0.00272005190721905	0.00160779772441995	0	0.00699140946385607	0	0	1.14100305197135e-05	0	0	0.000172261314331281	6.64939729483247e-05	0	0	0.000445735792221881	0	0.000248592802738819	0	0.00346944331717613	0	6.20561931092031e-05	0.00214593024725686	0.00150468130251473	0	0	0.0180077404359494	0.00217650204005146	0	0.000133049353712817	0	0	0.0107826184469601	2.64601402796404e-05	0	0.00155384447976949	0.0069515849523178	8.38508506233836e-06	0	0	9.99863732308408e-05
S8	0.0168424878006442	2.24336772040403e-05	0.0100671542911464	0.110873785630141	0.0324265856680775	0.0816526249875609	0.0838607354364244	0.0946499796419936	0.00703742412028166	0.0751825618405024	0.0302221423715553	0.0189729253520325	0.00643686773310685	0	0.0116745817769922	4.08214547198764e-05	0	0	0.00823763077861414	0.00980710557697467	0.0135124604077076	0.000238986282046643	0	3.3982462251702e-06	0.0234562245927906	0.0183516420880197	0.000622277328598238	0.00331575388178535	0.0173284799854948	0.00462179563614209	0.00266672910719903	0.0109605999016409	0	0.0066973790624058	0.0248102424328482	0.0929839865688238	0.0125952194686324	0	0.00708495137047742	0.00821532862316247	0	0	0.00368038365652059	0	0	0.00420143837571638	0	0.0181538726475109	0.0183968759920935	0.000968011764986444	0	0	0.000313586471820452	0	0	0.00425054889971891	0.00392415670289047	0	0	0.00542707487590593	0.000777664202293356	0.00626016526119646	0	0	0.000568417966575504	0	0.000149197816926606	1.54214532896976e-06	0.00305873238153274	0	0	0.0010370006251802	0	0	0.000404299525426688	0.000197684028760946	0.00338125446429627	0	0.00749451582356685	0.0009225051693407	0	0.00694411698025551	0.0026296936839231	0	0	0.00312041490799901	0	0	0	0	0	0.0122600536549919	6.54088104750499e-05	0	0.00851814094189832	0.00239479610389459	0.00179217128909	0	0	0.000256753616439387
S9	0.143152815149047	6.34928402443423e-05	0.0182777066570583	0	0.0930465701278877	0.00386199872945309	0.0018356764676042	0.00218957127999027	0.029894158956479	4.6908332937995e-05	5.9732115237303e-05	5.09979562764527e-06	0.0310931767318281	0.00417591383374348	0.000771969118930488	0.00843213609407678	0.00028128009285481	0	0.019307400300198	0.340722988975881	0	0.0167160046200634	0	0	0.0276215029072278	0.0156519436866514	0.00524257742769841	0.00617009784379454	0.00706830374078789	0.00184981795747649	0	0.000941933691096732	0.000617621108149982	0.0319185549951763	0.0131255251364817	0	0.00382713833830553	0	0.00717213720973705	0.000360360352503234	0	0	0.0017090497459742	0	0	0	0	0.000446756746120567	0.00369493113147569	0.00431760990999306	0	0.00219644170524487	0.00275695748802079	0.00897271061061343	4.39702269941032e-05	0	0.00116869157279777	0.000401614289961365	0	0	0.00238944117362638	0.00996168514458759	0	0	0.000970607351170758	0	0.000238342183902355	0.00130792566366895	0.00357315321383959	0	0	0.000518692968064457	0	5.6213251115986e-05	0	0	0.000337113965067831	0	0.0031750940155428	0.00145539463218062	0.000250765894379146	0.000176453004216081	9.72381921124945e-05	0	0	0	0	0	0.000705955109679758	0	0	0	0	0	0.00215650509908955	5.57005411678272e-05	0.000616399143349936	0	0	0.00259857454275507
S10	0	0.0134806444650772	0.0111062164937153	0.0246110839095619	0.00154776481109424	0.177567575301196	0.045394661592511	4.68047869230864e-05	0.0748418543816601	0.0691268237913445	0.0115120064727447	0.00740393233962449	0.000154503254297107	8.78593447658025e-06	0	0	0	0	0.00429074792148038	0	0.0150477110773695	0.00119106238120777	0	0.0298466745960734	0.00436781772357026	0.000978511607597085	1.16598298237997e-05	0.000816511477400426	0.00599221318714957	0.00595353029559218	0.0736619858855486	0.00682758798663947	0.00175554241844128	0.0119692677471493	0.0230793105072839	0.10598432789816	0.0319634549987235	0.0137121452360908	0.000234758938159315	0.0177194249726475	0	0	0.0199959926246325	0	0	2.60228674682677e-05	0	2.95511586414499e-05	0	0.00118734932623936	0	0	0.00608610976406721	0	0	0	0.0107605642783639	0	0	0.0188169258530365	0.000163620748908729	0.0075714882485101	1.32243551245888e-05	0.0143722870802477	0.000335990198012417	0.00419795605593719	1.05653546844596e-06	2.63152250144709e-06	0.00236485414978991	0	0	2.48551559659543e-05	0	0	0.000554713120874517	0	0.000363915323437044	0	0.00970408916836618	0.000451796352467049	0.000402234105346685	0.00127226135112246	0.00179612217844049	0.000433054840745463	0	0.00526412096004788	0	0	0.000448905584362247	0	0	0	0.000131238399405297	0.000897318974318018	0	0.000822628060038689	0	0	0	0.00044095356879534
