feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T38	E1	CRC	-1.87358860899859	0.0752281935343474	104	52	3.74627015032955e-45	3.74627015032955e-43
T77	E1	CRC	1.69173059844302	0.0795822401325184	104	51	2.91039855566612e-39	1.45519927783306e-37
T52	E1	CRC	1.92262884892789	0.10182216006554	104	51	4.554823507625e-35	1.51827450254167e-33
T21	E1	CRC	1.94682010168397	0.109376110796427	104	54	4.69123901972083e-33	1.17280975493021e-31
T56	E1	CRC	1.98062318742057	0.112349773018686	104	51	9.85291998232377e-33	1.97058399646475e-31
T40	E1	CRC	1.90703026151284	0.110877299233697	104	51	6.5159604002928e-32	1.0859934000488e-30
T39	E1	CRC	1.60134140088483	0.104633034450858	104	54	3.57981181002553e-28	5.11401687146504e-27
T50	E1	CRC	-1.83633410930955	0.125121460698916	104	51	6.84953948727127e-27	8.56192435908909e-26
T84	E1	CRC	1.71563073417949	0.131922852988726	104	53	2.20567443014257e-23	2.45074936682508e-22
T67	E1	CRC	-1.6123955728183	0.131712942087854	104	56	9.68247728853144e-22	9.68247728853144e-21
T41	E1	CRC	-1.6884530671825	0.138653671212105	104	48	1.33444819746094e-21	1.21313472496449e-20
T44	E1	CRC	1.6547296364254	0.13992622859605	104	49	7.77100830972201e-21	6.47584025810167e-20
T71	E1	CRC	1.56765305819953	0.134258722766111	104	50	1.64665787251212e-20	1.2666599019324e-19
T59	E1	CRC	1.6075654425456	0.140928953715101	104	51	6.40500781966649e-20	4.57500558547607e-19
T34	E1	CRC	1.64702125243855	0.14535398162961	104	53	9.39433042356752e-20	6.26288694904501e-19
T17	E1	CRC	-1.58486228964513	0.144577641347075	104	48	6.09005155390319e-19	3.80628222118949e-18
T89	E1	CRC	-1.58993051119231	0.146440747422002	104	52	1.03694315177741e-18	6.09966559869062e-18
T35	E1	CRC	-1.36850385239227	0.128496955253615	104	54	2.97004570481659e-18	1.65002539156477e-17
T26	E1	CRC	1.58712771665586	0.149747486676363	104	51	3.8573799588253e-18	2.0301999783291e-17
T28	E1	CRC	-1.57469716483457	0.149207310647188	104	48	4.8483498667828e-18	2.4241749333914e-17
T3	E1	CRC	-1.55153188756657	0.150030721598371	104	55	1.42914969467764e-17	6.80547473656017e-17
