feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T54	E1	CRC	-1.87520554808804	0.0791639507739332	128	56	3.05547991989869e-48	3.05547991989869e-46
T35	E1	CRC	1.81921015750316	0.0970087624656044	128	70	2.84491566750833e-38	1.42245783375417e-36
T50	E1	CRC	-1.92645939269753	0.108131966294767	128	61	3.14165699583871e-36	1.0472189986129e-34
T48	E1	CRC	1.76852508369275	0.100430430004552	128	64	8.98329828657623e-36	2.24582457164406e-34
T61	E1	CRC	-1.81821563286662	0.105164671647474	128	64	4.6346613174118e-35	9.2693226348236e-34
T28	E1	CRC	-1.87275803114689	0.112839803117787	128	61	1.68224015356904e-33	2.80373358928174e-32
T26	E1	CRC	1.85410560357335	0.119078436511649	128	66	3.82236373687057e-31	5.46051962410081e-30
T8	E1	CRC	-1.36079312621384	0.0943852859237643	128	65	1.95145772204081e-28	2.43932215255101e-27
T85	E1	CRC	1.70727805314451	0.121880284502999	128	67	1.84606518462143e-27	2.05118353846825e-26
T84	E1	CRC	-1.32073800950045	0.0949566796636303	128	60	3.1847011169743e-27	3.1847011169743e-26
T62	E1	CRC	1.72974694448038	0.128589503961064	128	70	3.99545679418611e-26	3.6322334492601e-25
T100	E1	CRC	1.67891881189547	0.128249562834455	128	64	2.97351380034659e-25	2.47792816695549e-24
T78	E1	CRC	1.50451572606534	0.130574514791712	128	63	2.00984945982034e-21	1.54603804601565e-20
T79	E1	CRC	1.14852719758239	0.101398978374221	128	58	6.06827494197314e-21	4.33448210140939e-20
T65	E1	CRC	-1.52229635022356	0.142365039731964	128	61	2.1879769657456e-19	1.45865131049707e-18
T38	E1	CRC	1.34746456546156	0.130517789719778	128	67	1.75846035115351e-18	1.09903771947094e-17
T22	E1	CRC	1.40440079709358	0.138461355830908	128	61	4.88304354955257e-18	2.87237855856034e-17
T23	E1	CRC	-1.42587739946107	0.141688224858771	128	61	7.63897752810109e-18	4.2438764045006e-17
T88	E1	CRC	1.44314070559727	0.146697575410986	128	67	2.72370976272041e-17	1.43353145406338e-16
T21	E1	CRC	1.39601933817089	0.148607602370013	128	59	3.26944892790237e-16	1.63472446395118e-15
T66	E1	CRC	1.35122610714377	0.144325718630021	128	62	3.90161927801252e-16	1.85791394191073e-15
T71	E1	CRC	1.33253585894786	0.142791380644376	128	64	4.62017661354725e-16	2.10008027888512e-15
T39	E1	CRC	-1.31179244972571	0.142043572520198	128	64	7.9297683935245e-16	3.44772538848891e-15
T98	E1	CRC	-1.30085545085214	0.144983225981327	128	68	3.41203058890623e-15	1.42167941204426e-14
T55	E1	CRC	-1.33915108332993	0.151228794758925	128	64	6.5300520313801e-15	2.61202081255204e-14
T5	E1	CRC	-0.935866580359692	0.107217735366119	128	64	1.31203771759061e-14	5.04629891381004e-14
T40	E1	CRC	1.28240232254632	0.153530408307033	128	62	1.0293059379069e-13	3.81224421446998e-13
T44	E1	CRC	1.19788955434525	0.145916442198583	128	62	2.24400162264927e-13	8.01429150946168e-13
T18	E1	CRC	1.13359311854754	0.139884460043968	128	61	3.97602424544599e-13	1.35502733280238e-12
T76	E1	CRC	1.23540908005023	0.152525610253638	128	67	4.06508199840715e-13	1.35502733280238e-12
T34	E1	CRC	1.1805275071061	0.157102567740449	128	63	9.27316001796092e-12	2.99134194127772e-11
