feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T14	E1	CRC	2.0291664791598	0.0904367062450623	157	85	1.51119279323974e-50	1.51119279323974e-48
T54	E1	CRC	1.68639494274612	0.080647674851513	157	85	5.65274748893292e-47	2.82637374446646e-45
T77	E1	CRC	-1.81450326279993	0.0885005631318692	157	74	5.35161171987407e-46	1.78387057329136e-44
T5	E1	CRC	1.8726939500401	0.104579403693145	157	86	1.41505521832831e-39	3.53763804582076e-38
T7	E1	CRC	-1.72311399027982	0.0997754151878214	157	74	6.02598510448275e-38	1.20519702089655e-36
T30	E1	CRC	-1.78953099953671	0.104507737384309	157	79	1.43721016277178e-37	2.3953502712863e-36
T16	E1	CRC	1.70578014374128	0.110885112493994	157	82	5.18920811687829e-33	7.41315445268327e-32
T18	E1	CRC	1.67556881050616	0.112318093853982	157	81	8.99997484159786e-32	1.12499685519973e-30
T32	E1	CRC	-1.62254899043472	0.111059645212065	157	80	6.01986761107474e-31	6.68874179008304e-30
T6	E1	CRC	1.50601304933513	0.105514001023353	157	78	4.82884023145864e-30	4.82884023145864e-29
T72	E1	CRC	-1.69398640041208	0.119257852250097	157	80	7.39303958112665e-30	6.7209450737515e-29
T41	E1	CRC	-1.64267336228815	0.120253963177894	157	80	2.18032544240406e-28	1.81693786867005e-27
T96	E1	CRC	-1.50749185317994	0.117935911880856	157	78	5.24822888935918e-26	4.03709914566091e-25
T69	E1	CRC	-1.55013483239666	0.125960086368377	157	80	1.03281399864121e-24	7.37724284743725e-24
T10	E1	CRC	-1.38284535052816	0.116208759650907	157	82	1.3208703856652e-23	8.80580257110133e-23
T2	E1	CRC	-1.51749711247103	0.1281946738861	157	83	1.95005211044469e-23	1.21878256902793e-22
T20	E1	CRC	1.51288469584163	0.128696823375462	157	86	3.25859090514483e-23	1.91681817949696e-22
T56	E1	CRC	1.49994716560736	0.128160456374017	157	76	4.50478863045888e-23	2.50266035025493e-22
T92	E1	CRC	1.51360302696507	0.12953084584457	157	81	5.05429617202861e-23	2.66015588001506e-22
T71	E1	CRC	-1.30898888000352	0.114133807002647	157	84	1.95571726920333e-22	9.77858634601664e-22
T61	E1	CRC	1.21450708414974	0.112475502988394	157	77	1.28149379190153e-20	6.1023513900073e-20
T78	E1	CRC	1.32548915181037	0.123022241335504	157	72	1.48371373686181e-20	6.74415334937188e-20
T80	E1	CRC	1.37346779927254	0.127577952107858	157	80	1.56582912607024e-20	6.80795272204453e-20
T13	E1	CRC	-1.39159872174248	0.135288670458947	157	80	3.04979528636208e-19	1.2707480359842e-18
T43	E1	CRC	1.38426737103781	0.134833881256099	157	77	3.44338779616504e-19	1.37735511846601e-18
T44	E1	CRC	1.31844249226369	0.129736019278078	157	81	6.53420979361908e-19	2.51315761293042e-18
T68	E1	CRC	-1.2372041582912	0.122764247786118	157	78	1.09961869187456e-18	4.07266182175765e-18
T50	E1	CRC	0.994547743416921	0.099238296140531	157	78	1.5518253077506e-18	5.54223324196642e-18
T45	E1	CRC	1.34052210008534	0.134889201405935	157	79	2.59588640844056e-18	8.95133244289847e-18
T51	E1	CRC	1.33836286665239	0.13674362620606	157	77	6.52326942743502e-18	2.17442314247834e-17
T63	E1	CRC	-1.3399721042538	0.137162207180228	157	77	7.28754644246949e-18	2.35082143305468e-17
T62	E1	CRC	1.31218519804859	0.138425002437521	157	76	4.25426530064658e-17	1.32945790645206e-16
T12	E1	CRC	-1.26706946207974	0.138370721894305	157	81	2.97957378602407e-16	9.02901147280022e-16
T11	E1	CRC	-1.19069296192308	0.137675630370169	157	79	6.1763830425429e-15	1.81658324780674e-14
T25	E1	CRC	-1.21737153430888	0.142338626093743	157	80	1.08732796746062e-14	3.10598167373946e-14
T70	E1	CRC	-1.14795750806043	0.134297108023355	157	79	1.11815340254621e-14	3.10598167373946e-14
T58	E1	CRC	1.20555708387582	0.141225255832287	157	76	1.19631196523521e-14	3.23327558171679e-14
T93	E1	CRC	1.15167907151821	0.137345992545987	157	77	2.9035915340368e-14	7.64103035272841e-14
